Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker,Fetch_Date,Source_Index
A.O. Smith Corp,Industrials,Specialty Industrial Machinery,USA,Mid,S&P 500,15.53,3.75,19.92%,111.96M,-0.75%,8.02B,14.02,4.15,-0.01%,110.34M,4.06%,8.48B,2.78,0.97,88.76%,6.71%,-9.79%,527.60M,2.11,-1.82%,2.69%,4.39,-14.31%,3.81B,4.27,9.89%,15.25%,7.41M,-12.95%,13.63,39.35,5.05%,28.27%,81.86 -28.88%,-7.70%,1.48,12.39,36.51% 12.66%,21.16%,54.16 7.50%,-18.00%,1.45 (2.49%),10.69,0.67% 5.76%,38.70%,2.94%,2.61%,-11.85%,1.42 (2.44%),2.22,4.76%,18.48%,1.68,37.90%,"Apr 30, 2026",1.00,0.23%,13.84%,48.14,2.56,6.58% 7.09%,1.56,-10.36%,0.68%,1.17,70.30,35.86%,0.35,-1.90%,-3.26%,2.57,57.88,11500,0.33,Apr 30 BMO,-13.81%,1.69M,58.22,"Sep 30, 1983",Yes / Yes,-9.74% -2.92%,"

","4,224,638",0.59%,AOS,2026-06-22,SP500_FUNDAMENTALS
3M Co,Industrials,Conglomerates,USA,Large,"DJIA, S&P 500",30.98,5.18,0.08%,521.57M,1.70%,83.76B,16.91,9.50,-11.06%,520.94M,7.53%,92.79B,2.01,2.23,77.62%,1.84%,12.54%,2.79B,3.35,7.81%,-0.08%,2.49,-1.59%,25.02B,25.67,9.30%,7.39%,9.59M,0.31%,6.26,20.19,8.43%,72.14%,177.41 -9.48%,12.69%,7.95,40.66,-16.13% -8.50%,19.13%,139.34 15.26%,83.75%,2.80 (1.74%),14.72,-10.01% -4.97%,39.55%,2.71%,2.46%,0.25%,3.02 (1.88%),3.71,-34.33%,19.82%,4.19,13.70%,"May 22, 2026",1.19,2.08%,11.14%,65.83,2.27,-21.17% -13.06%,1.59,-39.85%,3.47%,1.01,176.24,48.63%,4.02,1.28%,6.75%,1.82,159.23,60500,3.46,Apr 21 BMO,1.87%,3.84M,160.60,"Jan 14, 1946",Yes / Yes,8.14% -0.09%,"

","6,934,632",0.86%,MMM,2026-06-22,SP500_FUNDAMENTALS
Abbott Laboratories,Healthcare,Medical Devices,USA,Large,S&P 500,24.63,3.59,0.68%,1.74B,-1.38%,153.99B,14.61,6.05,0.33%,1.73B,-0.46%,181.39B,1.55,1.28,82.55%,1.27%,-17.52%,6.28B,3.41,6.29%,0.24%,1.61,-30.31%,45.13B,2.96,10.56%,6.54%,22.04M,-29.44%,29.89,21.11,9.42%,12.45%,139.06 -36.42%,-33.23%,4.19,20.87,-1.70% 8.23%,7.68%,81.97 7.86%,-16.75%,2.47 (2.80%),16.22,0.51% 5.08%,52.84%,2.71%,2.17%,-19.87%,2.44 (2.76%),4.02,-53.44%,17.77%,2.17,136.45%,"Jul 15, 2026",1.01,6.59%,13.91%,47.55,1.55,7.72% 9.42%,1.39,-17.14%,0.01%,0.61,115.50,64.54%,0.65,7.78%,-1.91%,3.16,88.50,115000,0.57,Apr 16 BMO,-22.20%,13.70M,88.41,"Mar 01, 1937",Yes / Yes,0.46% 1.49%,"

","41,964,840",-0.10%,ABT,2026-06-22,SP500_FUNDAMENTALS
Accenture plc,Technology,Information Technology Services,Ireland,Large,S&P 500,10.22,12.52,0.26%,613.94M,-23.60%,78.57B,8.70,14.72,-2.09%,612.10M,-27.61%,78.41B,1.26,3.21,85.07%,4.22%,-37.13%,7.79B,1.07,7.22%,1.18%,3.90,-52.96%,73.10B,2.46,6.14%,11.79%,25.84M,-52.30%,52.12,7.72,6.93%,24.95%,314.20 -59.27%,-58.23%,16.57,6.24,4.30% 9.01%,19.76%,155.82 -17.86%,-59.95%,6.51 (5.08%),6.01,4.19% 9.47%,31.73%,5.21%,4.26%,-54.50%,6.37 (4.98%),1.07,-0.66%,15.47%,9.22,8.85%,"Jul 09, 2026",1.34,6.74%,10.66%,20.86,1.97,15.12% 13.09%,1.34,9.01%,-26.12%,1.12,188.26,48.71%,0.26,5.59%,-28.02%,6.83,156.01,779000,0.24,Jun 18 BMO,-43.40%,6.62M,127.98,"Jul 19, 2001",Yes / Yes,2.43% -0.32%,"

","41,744,292",-17.97%,ACN,2026-06-22,SP500_FUNDAMENTALS
Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,Mega,S&P 500,106.78,2.03,0.12%,1.77B,-3.68%,382.49B,13.30,16.28,-2.14%,1.76B,1.28%,446.00B,0.62,3.76,77.19%,1.31%,4.98%,3.60B,6.09,42.47%,-0.25%,3.58,-3.21%,62.82B,-,14.26%,2.64%,23.16M,-5.25%,-3.77,40.73,21.52%,15221.82%,244.81 -11.57%,16.71%,5.32,19.14,-29.11% -2.81%,6.21%,181.73 19.13%,56.15%,6.84 (3.16%),15.28,1.75% 5.95%,70.58%,2.37%,2.30%,91.38%,6.74 (3.11%),7.10,-13.63%,33.58%,5.40,260.76%,"Jul 15, 2026",0.68,9.50%,5.72%,47.70,1.69,5.21% 6.56%,0.80,-46.38%,-1.60%,0.31,253.85,281.66%,-,12.43%,2.23%,1.48,221.23,57000,-,Apr 29 BMO,-1.85%,6.47M,216.49,"Dec 10, 2012",Yes / Yes,2.23% 1.93%,"

","9,646,079",-2.14%,ABBV,2026-06-22,SP500_FUNDAMENTALS
Adobe Inc,Technology,Software - Application,USA,Large,"NDX, S&P 500",11.16,17.48,0.20%,399.00M,-10.80%,77.58B,7.11,27.46,-9.01%,396.56M,-23.46%,79.02B,0.49,6.05,85.87%,4.71%,-20.66%,7.23B,3.08,16.28%,-3.21%,3.10,-43.90%,25.20B,6.76,12.76%,24.91%,18.66M,-44.24%,28.87,13.79,14.60%,62.95%,392.58 -50.29%,-48.38%,14.15,7.55,18.25% 9.04%,43.42%,195.02 0.07%,-60.59%,-,7.89,10.89% 13.06%,88.82%,4.06%,3.90%,-65.49%,-,3.14,11.45%,36.74%,10.61,104.18%,"Mar 24, 2005",0.75,11.49%,28.69%,27.79,2.55,- -,0.75,8.04%,-17.21%,1.44,270.57,0.00%,0.61,12.69%,-19.24%,2.65,196.28,31360,0.45,Jun 11 AMC,-33.91%,6.02M,195.16,"Aug 13, 1986",Yes / Yes,2.48% 2.54%,"

","15,851,019",-0.57%,ADBE,2026-06-22,SP500_FUNDAMENTALS
Aflac Inc,Financial,Insurance - Life,USA,Large,S&P 500,13.10,8.81,10.94%,510.53M,-0.84%,58.77B,15.19,7.60,-2.53%,453.24M,-2.48%,-,7.07,1.78,59.89%,2.00%,7.74%,4.64B,3.24,-5.68%,-1.68%,3.56,5.46%,18.11B,1.97,7.59%,3.93%,9.08M,4.72%,58.69,-,2.15%,16.47%,119.81 -3.62%,12.51%,-,20.03,-0.54% 0.43%,12.36%,96.95 19.10%,66.31%,2.44 (2.12%),-,-3.57% -4.97%,-,1.75%,1.93%,121.72%,2.38 (2.06%),-,37.42%,32.26%,2.25,235.72%,"May 20, 2026",-,7.25%,25.60%,49.14,3.12,13.19% 15.68%,1.05,3634.91%,-0.22%,0.61,112.43,34.04%,0.26,27.90%,0.32%,2.55,116.24,12716,0.25,Apr 29 AMC,3.61%,2.55M,115.47,"Jun 14, 1974",Yes / Yes,-2.44% 3.41%,"

","6,380,129",-0.66%,AFL,2026-06-22,SP500_FUNDAMENTALS
Advanced Micro Devices Inc,Technology,Semiconductors,USA,Mega,"NDX, S&P 500",176.37,3.05,0.49%,1.63B,10.02%,876.24B,40.39,13.31,-7.49%,1.62B,29.78%,867.75B,0.64,1.60,69.41%,2.72%,161.79%,5.01B,23.39,79.27%,-0.90%,1.16,156.91%,37.45B,13.59,77.99%,6.52%,44.07M,150.92%,39.55,70.90,62.77%,8.06%,558.37 -3.76%,323.83%,7.58,102.20,46.65% 5.13%,7.43%,125.77 327.26%,347.51%,-,117.52,13.64% 28.82%,47.09%,5.32%,5.94%,534.81%,-,23.17,123.87%,11.65%,32.94,10116.16%,-,1.96,34.97%,13.37%,61.19,1.51,- -,2.72,92.25%,7.08%,2.48,498.62,0.00%,0.06,37.85%,30.73%,1.16,512.48,31000,0.05,May 05 AMC,105.77%,37.86M,537.37,"Oct 15, 1979",Yes / Yes,6.24% 3.57%,"

","43,799,672",4.86%,AMD,2026-06-22,SP500_FUNDAMENTALS
AES Corp,Utilities,Utilities - Diversified,USA,Large,S&P 500,7.56,1.93,0.60%,713.14M,-0.34%,10.43B,5.96,2.45,0.00%,708.67M,0.34%,47.01B,1.80,0.54,92.28%,3.09%,3.32%,1.38B,0.84,-0.77%,3.09%,2.06,7.34%,12.45B,2.36,5.62%,2.72%,21.92M,1.95%,6.20,4.63,3.31%,23.63%,17.65 -17.17%,38.97%,3.15,-,- 82.82%,3.93%,10.02 45.91%,-31.49%,0.71 (4.85%),12.55,-1.03% 4.83%,19.25%,0.41%,0.41%,-41.85%,0.70 (4.82%),3.77,5.46%,17.60%,0.07,25.93%,"May 01, 2026",0.65,2.76%,11.08%,50.38,3.00,3.03% 3.83%,0.73,955.97%,-0.36%,0.94,15.00,53.52%,4.24,7.55%,0.61%,0.79,14.61,8336,3.80,May 05 AMC,1.96%,10.65M,14.62,"Jun 26, 1991",Yes / Yes,105.02% 2.37%,"

","10,322,279",0.07%,AES,2026-06-22,SP500_FUNDAMENTALS
Air Products & Chemicals Inc,Basic Materials,Specialty Chemicals,USA,Large,S&P 500,29.64,9.45,0.06%,222.68M,0.75%,62.40B,19.58,14.31,-35.30%,222.48M,-3.96%,82.30B,2.20,3.34,93.69%,1.40%,-1.39%,2.11B,5.01,9.87%,-2.90%,2.60,15.67%,12.46B,3.99,8.27%,5.25%,3.13M,13.44%,70.28,65.61,8.92%,13.94%,307.96 -9.01%,1.75%,4.27,-,- -,6.29%,229.11 22.30%,-4.42%,7.23 (2.58%),18.07,-1.77% 6.33%,31.97%,2.21%,2.11%,-4.27%,7.18 (2.56%),6.60,37.17%,24.02%,6.32,111.49%,"Jul 01, 2026",1.21,3.69%,16.91%,43.06,1.80,3.93% 6.63%,1.43,141.03%,-0.71%,0.74,335.42,-,1.17,8.77%,-4.03%,2.17,281.75,21300,1.14,Apr 30 BMO,2.29%,1.20M,280.21,"Nov 13, 1961",Yes / Yes,4.59% 3.32%,"

","2,568,781",-0.55%,APD,2026-06-22,SP500_FUNDAMENTALS
