Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker,Fetch_Date,Source_Index
Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,Large,S&P 500,25.44,4.98,0.39%,282.22M,-3.00%,35.78B,19.20,6.60,-0.15%,281.33M,10.35%,37.32B,2.07,1.49,93.55%,1.85%,13.08%,1.41B,4.95,8.34%,-0.20%,2.34,-7.47%,7.23B,5.02,8.91%,11.21%,5.22M,-6.91%,25.24,19.80,9.29%,21.33%,160.27 -20.96%,9.08%,6.40,32.91,3.03% 14.68%,13.90%,108.35 16.91%,6.07%,1.02 (0.81%),19.28,0.48% 5.41%,52.79%,2.47%,2.92%,-13.97%,1.01 (0.79%),5.16,22.77%,22.94%,3.95,171.36%,"Jun 30, 2026",1.62,9.11%,19.55%,50.50,1.64,5.63% 6.58%,2.10,58.79%,-2.81%,1.26,160.75,21.70%,0.47,10.01%,4.17%,0.72,126.49,18100,0.43,May 27 AMC,-2.89%,2.23M,126.67,"Nov 18, 1999",Yes / Yes,5.79% 2.03%,"

","2,117,825",0.14%,A,2026-06-24,SP500_FUNDAMENTALS
Airbnb Inc,Consumer Cyclical,Travel Services,USA,Large,"NDX, S&P 500",34.20,4.06,32.62%,419.00M,-0.08%,83.69B,22.88,6.07,-1.18%,399.88M,3.43%,74.15B,1.08,1.26,59.65%,3.68%,4.72%,2.52B,6.58,27.12%,-0.95%,3.97,3.63%,12.71B,10.82,18.46%,9.70%,14.73M,2.31%,12.83,6.94,21.26%,32.33%,147.25 -5.70%,6.37%,20.02,18.43,13.17% -,24.89%,110.81 25.30%,11.32%,-,27.02,13.58% 29.50%,72.38%,2.58%,3.01%,-8.40%,-,5.83,2.35%,20.89%,4.28,-,-,1.44,13.18%,19.80%,55.40,2.11,- -,1.44,7.34%,2.67%,1.13,157.19,0.00%,0.33,17.87%,1.45%,0.92,139.19,8200,0.32,May 07 AMC,7.39%,3.71M,138.85,"Dec 10, 2020",Yes / Yes,-14.50% 2.34%,"

","3,428,511",-0.24%,ABNB,2026-06-24,SP500_FUNDAMENTALS
Akamai Technologies Inc,Technology,Software - Infrastructure,USA,Large,S&P 500,40.38,2.97,2.30%,145.55M,-10.68%,17.43B,16.79,7.14,-3.58%,142.04M,-18.03%,22.36B,4.63,1.58,111.44%,13.79%,4.75%,435.18M,4.08,-5.93%,9.41%,3.60,35.46%,4.27B,3.55,6.58%,4.02%,19.58M,37.39%,33.73,18.73,3.63%,9.17%,165.45 -27.55%,51.20%,6.40,22.79,-1.97% -1.83%,4.18%,69.78 71.78%,35.25%,-,17.13,5.18% 5.64%,54.13%,4.74%,5.01%,3.37%,-,5.24,0.30%,13.76%,6.95,109.67%,-,1.99,6.15%,10.20%,35.12,2.10,- -,1.99,-13.09%,-14.49%,0.65,159.77,0.00%,1.20,5.76%,-5.80%,0.53,120.74,11000,1.12,May 07 AMC,20.46%,5.44M,119.87,"Oct 29, 1999",Yes / Yes,0.40% 0.09%,"

","2,885,484",-0.72%,AKAM,2026-06-24,SP500_FUNDAMENTALS
Albemarle Corp,Basic Materials,Specialty Chemicals,USA,Large,S&P 500,-,-3.41,0.32%,117.89M,-11.20%,17.69B,11.98,12.52,-10.08%,117.56M,-11.72%,21.10B,-,3.09,95.93%,9.15%,-10.49%,-399.63M,3.22,1666.87%,1.33%,4.99,6.76%,5.49B,2.32,1.18%,-1.45%,10.76M,6.04%,64.60,16.23,-,-2.34%,221.00 -32.14%,159.39%,9.24,30.64,- -,-1.98%,55.90 168.30%,-31.88%,1.62 (1.08%),19.50,-11.10% 10.45%,18.53%,4.66%,4.56%,-8.36%,1.62 (1.08%),3.84,69.44%,7.77%,8.83,77.70%,"Jun 12, 2026",1.21,7.87%,-7.27%,36.10,1.85,0.84% 1.02%,2.07,80748.28%,-8.69%,1.34,221.95,-,0.20,32.67%,-16.87%,0.90,156.69,7800,0.19,May 06 AMC,2.12%,2.15M,149.98,"Feb 22, 1994",Yes / Yes,147.03% 6.61%,"

","1,950,889",-4.28%,ALB,2026-06-24,SP500_FUNDAMENTALS
Alexandria Real Estate Equities Inc,Real Estate,REIT - Office,USA,Mid,S&P 500,-,-6.27,2.46%,170.71M,-1.49%,8.99B,-,-0.19,1.20%,169.98M,7.84%,25.20B,-,0.14,96.60%,4.13%,7.17%,-1.07B,3.06,121.97%,-0.41%,3.11,5.41%,2.94B,0.56,-110.44%,-2.97%,7.02M,5.44%,92.17,21.24,-,-6.43%,88.24 -41.52%,-29.24%,2.43,6.41,- -,-3.76%,39.41 30.93%,-52.56%,2.88 (5.58%),12.71,5.34% 9.93%,23.99%,3.63%,3.92%,-71.47%,4.08 (7.91%),8.57,-923.18%,22.76%,2.02,-47.12%,"Jun 30, 2026",1.44,-5.35%,-36.32%,54.81,3.06,-0.28% 1.99%,1.44,3188.68%,0.85%,1.17,51.50,-,0.83,-11.49%,7.82%,0.61,50.73,514,0.80,Apr 27 AMC,-7.98%,2.26M,51.60,"May 23, 1997",Yes / Yes,1094.75% -4.64%,"

","1,393,278",1.71%,ARE,2026-06-24,SP500_FUNDAMENTALS
Allegion plc,Industrials,Security & Protection Services,Ireland,Large,S&P 500,17.58,7.32,0.38%,85.94M,-3.69%,11.07B,13.47,9.56,-1.03%,85.61M,-1.48%,12.98B,1.57,2.21,101.73%,3.92%,-10.35%,633.70M,2.66,7.87%,3.02%,3.31,-19.48%,4.16B,5.27,8.89%,12.83%,3.36M,-19.13%,24.45,35.82,8.60%,34.18%,183.11 -29.68%,-9.61%,3.59,15.72,12.75% 16.90%,14.81%,125.00 3.01%,11.48%,2.15 (1.67%),13.05,7.52% 8.38%,44.97%,2.97%,2.46%,-6.80%,2.12 (1.65%),3.12,2.90%,20.64%,3.63,85.94%,"Jun 15, 2026",1.19,8.87%,15.24%,43.21,2.12,7.55% 9.77%,1.91,-6.70%,-1.81%,0.87,163.58,27.44%,1.06,9.74%,-4.42%,0.77,130.93,13300,1.04,Apr 28 BMO,-17.69%,1.02M,128.76,"Nov 18, 2013",Yes / Yes,-5.04% 0.70%,"

","781,914",-1.66%,ALLE,2026-06-24,SP500_FUNDAMENTALS
Align Technology Inc,Healthcare,Medical Instruments & Supplies,USA,Large,S&P 500,28.24,5.97,3.60%,71.62M,-5.48%,12.07B,13.64,12.36,-0.31%,69.04M,3.34%,11.12B,1.52,2.63,100.94%,6.71%,-6.84%,429.89M,2.95,8.22%,5.57%,4.58,4.37%,4.10B,2.91,8.63%,6.92%,4.63M,7.90%,57.94,11.39,9.00%,10.82%,208.30 -19.11%,-8.14%,14.80,20.67,7.03% -24.08%,10.16%,122.00 38.11%,-48.76%,-,12.11,2.61% 10.30%,70.40%,4.55%,4.00%,-72.19%,-,2.72,8.65%,17.85%,7.23,105.93%,-,1.28,2.89%,10.50%,46.88,1.89,- -,1.39,24.34%,-1.94%,1.66,208.23,0.00%,0.03,6.21%,-3.03%,1.07,173.76,20290,0.02,Apr 29 AMC,4.94%,1.01M,168.49,"Jan 26, 2001",Yes / Yes,12.40% 1.84%,"

","1,112,516",-3.03%,ALGN,2026-06-24,SP500_FUNDAMENTALS
Alliant Energy Corp,Utilities,Utilities - Regulated Electric,USA,Large,S&P 500,23.45,3.18,0.20%,257.93M,1.39%,19.26B,20.24,3.68,0.00%,257.76M,1.76%,30.98B,2.61,0.69,94.55%,9.36%,7.81%,821.00M,4.36,6.22%,2.68%,10.48,13.52%,4.42B,2.59,7.71%,3.44%,24.12M,14.71%,28.77,167.48,7.76%,11.31%,75.76 -1.57%,21.57%,0.45,-,4.79% 4.94%,4.45%,59.82 24.66%,43.87%,2.15 (2.88%),16.53,1.23% 5.01%,25.78%,1.71%,1.81%,31.40%,2.08 (2.79%),7.01,10.00%,23.01%,1.32,92.19%,"Apr 30, 2026",0.53,8.34%,18.58%,60.29,1.88,5.88% 5.96%,0.69,4.50%,2.81%,0.53,79.32,64.61%,1.60,4.96%,2.85%,1.18,73.21,2948,1.48,Apr 30 AMC,8.09%,2.30M,74.57,"Mar 30, 1976",Yes / Yes,3.34% 10.09%,"

","3,222,245",1.86%,LNT,2026-06-24,SP500_FUNDAMENTALS
Allstate Corp,Financial,Insurance - Property & Casualty,USA,Large,S&P 500,5.11,45.33,0.58%,258.00M,4.39%,59.61B,8.86,26.14,-10.59%,255.93M,7.98%,-,-,5.11,85.56%,3.51%,11.45%,12.03B,0.87,-13.41%,0.84%,5.68,12.99%,68.17B,2.02,-13.31%,11.01%,8.99M,11.24%,114.75,-,-9.90%,45.26%,227.62 1.73%,16.75%,-,5.17,- 17.07%,31.06%,188.08 23.11%,115.34%,4.31 (1.86%),-,9.60% 10.06%,-,2.11%,2.33%,81.15%,4.16 (1.80%),-,209.62%,21.11%,5.41,241.22%,"Jun 01, 2026",-,4.40%,17.64%,66.92,2.24,5.57% 13.12%,0.41,339.11%,6.89%,0.15,242.36,10.51%,0.24,2.97%,6.97%,1.12,222.56,53300,0.24,Apr 29 AMC,11.38%,1.58M,231.55,"Jun 03, 1993",Yes / Yes,45.68% -2.93%,"

","1,811,185",4.04%,ALL,2026-06-24,SP500_FUNDAMENTALS
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,"NDX, S&P 500",26.40,13.11,52.16%,5.82B,-6.29%,4193.48B,23.52,14.71,-0.04%,5.80B,-10.71%,4161.34B,1.41,2.88,39.42%,1.43%,14.59%,160.21B,9.91,31.75%,0.00%,2.74,14.44%,423.17B,8.76,3.32%,27.17%,82.91M,10.58%,39.51,33.06,16.70%,38.88%,408.61 -15.29%,109.53%,10.47,65.09,33.35% 29.82%,28.04%,162.00 113.66%,182.92%,0.86 (0.25%),25.13,12.78% 17.18%,60.43%,3.20%,2.74%,183.42%,0.85 (0.25%),9.83,46.22%,33.63%,11.70,868.37%,"Jun 08, 2026",1.92,17.77%,37.86%,37.37,1.38,- -,1.92,81.96%,-5.91%,1.26,433.97,7.68%,0.20,22.34%,-6.09%,1.07,349.68,190820,0.19,Apr 29 AMC,10.85%,30.26M,346.13,"Aug 19, 2004",Yes / Yes,90.47% 3.04%,"

","33,995,548",-1.02%,GOOGL,2026-06-24,SP500_FUNDAMENTALS
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,"NDX, S&P 500",26.40,13.11,58.21%,5.46B,-5.73%,4193.48B,23.52,14.71,-0.03%,5.06B,-9.75%,4161.34B,1.41,2.88,27.70%,0.89%,15.74%,160.21B,9.91,31.70%,0.00%,2.18,13.94%,423.17B,8.76,3.35%,27.17%,45.22M,10.29%,39.51,33.06,16.67%,38.88%,404.47 -14.44%,108.47%,10.47,65.09,33.35% 29.82%,28.04%,163.33 111.89%,181.32%,0.86 (0.25%),25.13,12.78% 17.18%,60.43%,3.24%,2.79%,173.66%,0.85 (0.25%),9.83,46.22%,33.63%,11.70,886.17%,"Jun 08, 2026",1.92,17.77%,37.86%,38.74,1.39,- -,1.92,81.96%,-5.29%,1.25,433.76,7.68%,0.20,22.34%,-5.41%,1.03,348.78,190820,0.19,Apr 29 AMC,11.00%,20.79M,346.08,"Mar 27, 2014",Yes / Yes,90.39% 3.06%,"

","21,813,908",-0.77%,GOOG,2026-06-24,SP500_FUNDAMENTALS
Altria Group Inc,Consumer Defensive,Tobacco,USA,Large,S&P 500,14.97,4.78,0.18%,1.67B,2.90%,119.58B,12.17,5.89,-1.17%,1.67B,-2.85%,140.70B,2.86,1.49,64.12%,3.15%,11.21%,8.03B,5.86,4.86%,-1.17%,5.89,22.64%,20.40B,-,3.55%,22.84%,52.49M,24.19%,-1.92,33.82,4.25%,-,74.56 -3.96%,18.38%,2.12,13.87,8.89% 11.40%,38.52%,54.70 30.91%,64.92%,4.34 (6.05%),10.02,-0.93% -0.71%,79.39%,1.94%,2.09%,52.30%,4.24 (5.92%),6.90,-19.96%,67.63%,1.66,7.99%,"Jun 15, 2026",0.48,0.75%,39.38%,53.75,2.88,4.17% 4.12%,0.62,105.23%,1.19%,0.49,70.20,101.07%,-,5.29%,2.40%,0.77,69.51,5900,-,Apr 30 BMO,10.77%,8.91M,71.61,"Mar 15, 1923",Yes / Yes,5.91% 3.94%,"

","9,851,003",3.02%,MO,2026-06-24,SP500_FUNDAMENTALS
Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,Mega,"DJIA, NDX, S&P 500",27.98,8.37,9.00%,10.75B,-4.84%,2518.35B,23.29,10.05,-0.03%,9.79B,-12.80%,2599.23B,1.07,1.81,67.68%,0.94%,11.41%,90.80B,3.39,22.68%,0.00%,2.03,3.24%,742.78B,5.70,14.27%,11.64%,92.45M,1.43%,41.09,17.25,21.76%,24.28%,278.56 -15.96%,12.30%,13.57,-,- 27.96%,13.93%,196.00 19.44%,81.02%,-,16.18,11.73% 13.18%,50.60%,3.25%,2.85%,33.63%,-,3.50,35.55%,12.14%,7.78,548.43%,-,1.01,14.22%,12.22%,37.83,1.22,- -,1.18,75.33%,-6.31%,1.47,316.56,0.00%,0.51,16.61%,-8.91%,1.26,232.79,1576000,0.47,Apr 29 AMC,0.55%,45.58M,234.11,"May 15, 1997",Yes / Yes,70.22% 2.39%,"

","60,482,536",0.57%,AMZN,2026-06-24,SP500_FUNDAMENTALS
Amcor Plc,Consumer Cyclical,Packaging & Containers,Switzerland,Large,S&P 500,27.86,1.45,0.31%,462.10M,-1.65%,18.69B,9.34,4.33,0.00%,460.90M,5.01%,33.82B,1.01,1.19,79.73%,6.75%,2.72%,678.00M,0.84,11.84%,5.95%,7.37,-3.05%,22.19B,1.60,8.76%,2.44%,31.11M,-3.05%,25.21,11.78,9.28%,8.75%,50.94 -20.63%,-10.85%,3.43,25.05,-15.45% -3.49%,2.45%,36.25 11.53%,-18.07%,2.56 (6.34%),10.56,1.05% 3.78%,16.71%,2.33%,2.36%,-29.63%,2.59 (6.40%),1.52,-48.00%,7.99%,1.12,-,"May 28, 2026",0.95,64.83%,3.06%,55.47,1.75,2.05% 1.74%,1.44,-11.55%,2.70%,0.61,49.54,158.52%,1.43,77.44%,3.04%,0.55,40.68,77000,1.38,May 06 BMO,-2.85%,4.22M,40.43,"Jun 11, 2019",Yes / Yes,0.33% 3.53%,"

","2,425,056",-0.61%,AMCR,2026-06-24,SP500_FUNDAMENTALS
Ameren Corp,Utilities,Utilities - Regulated Electric,USA,Large,S&P 500,20.07,5.57,0.41%,276.70M,1.94%,30.91B,19.24,5.81,-4.90%,275.61M,1.69%,52.26B,2.47,1.07,86.12%,3.51%,4.49%,1.52B,3.48,6.94%,0.15%,5.72,12.60%,8.88B,2.28,7.94%,3.19%,9.67M,11.86%,48.99,355.32,7.78%,11.83%,115.58 -3.36%,16.34%,0.31,-,8.93% 8.84%,4.68%,94.20 18.58%,38.19%,3.02 (2.70%),13.79,3.41% 8.72%,30.55%,1.85%,1.88%,36.74%,2.92 (2.61%),5.89,23.95%,23.97%,2.07,116.89%,"Jun 09, 2026",0.44,12.32%,17.17%,58.61,1.95,6.37% 7.26%,0.62,20.43%,2.78%,0.48,121.77,53.09%,1.57,3.77%,1.70%,1.10,109.70,8913,1.40,May 05 AMC,5.53%,1.69M,111.70,"Jan 02, 1998",Yes / Yes,8.30% -3.03%,"

","2,019,617",1.82%,AEE,2026-06-24,SP500_FUNDAMENTALS
