Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker,Fetch_Date,Source_Index
Abbott Laboratories,Healthcare,Medical Devices,USA,Large,S&P 500,25.22,3.59,0.77%,1.74B,2.10%,157.69B,14.96,6.05,0.29%,1.73B,3.14%,185.08B,1.59,1.28,82.60%,1.28%,-13.66%,6.28B,3.49,6.29%,0.24%,1.74,-27.65%,45.13B,3.03,10.56%,6.54%,22.04M,-27.74%,29.89,21.62,9.42%,12.45%,139.06 -34.90%,-32.07%,4.19,21.37,-1.70% 8.23%,7.68%,81.97 10.44%,-16.21%,2.47 (2.73%),16.55,0.51% 5.08%,52.84%,2.46%,2.17%,-18.32%,2.44 (2.70%),4.10,-53.44%,17.77%,2.18,128.44%,"Jul 15, 2026",1.01,6.59%,13.91%,54.29,1.55,7.72% 9.42%,1.39,-17.14%,2.23%,0.59,115.50,64.54%,0.65,7.78%,1.00%,0.95,87.83,115000,0.57,Apr 16 BMO,-20.03%,12.70M,90.53,"Mar 01, 1937",Yes / Yes,0.46% 1.49%,"

","12,201,914",3.07%,ABT,2026-06-24,SP500_FUNDAMENTALS
3M Co,Industrials,Conglomerates,USA,Large,"DJIA, S&P 500",31.22,5.18,0.14%,521.57M,2.28%,84.41B,17.03,9.50,-6.64%,520.85M,6.75%,93.44B,2.02,2.23,77.63%,1.84%,10.43%,2.79B,3.37,7.88%,-0.08%,2.57,0.05%,25.02B,25.87,9.29%,7.39%,9.59M,1.09%,6.26,20.34,8.43%,72.14%,177.41 -8.78%,9.65%,7.95,40.98,-16.13% -8.50%,19.13%,139.34 16.15%,92.19%,2.80 (1.73%),14.82,-10.01% -4.97%,39.55%,2.34%,2.35%,0.63%,3.02 (1.87%),3.73,-34.33%,19.82%,4.04,11.18%,"May 22, 2026",1.19,2.08%,11.14%,65.48,2.27,-21.17% -13.06%,1.59,-39.85%,3.57%,0.99,176.24,48.63%,4.02,1.28%,7.22%,0.58,163.22,60500,3.46,Apr 21 BMO,2.60%,3.74M,161.84,"Jan 14, 1946",Yes / Yes,8.14% -0.09%,"

","2,816,252",-0.85%,MMM,2026-06-24,SP500_FUNDAMENTALS
A.O. Smith Corp,Industrials,Specialty Industrial Machinery,USA,Mid,S&P 500,15.32,3.75,19.97%,111.96M,-4.30%,7.92B,13.83,4.15,-0.01%,110.31M,0.47%,8.37B,2.74,0.97,88.78%,6.71%,-11.73%,527.60M,2.08,-1.82%,2.69%,4.40,-15.76%,3.81B,4.22,9.89%,15.25%,7.41M,-14.11%,13.63,38.83,5.05%,28.27%,81.86 -29.84%,-10.45%,1.48,12.23,36.51% 12.66%,21.16%,54.16 6.06%,-17.34%,1.45 (2.52%),10.56,0.67% 5.76%,38.70%,2.94%,2.40%,-15.70%,1.42 (2.47%),2.20,4.76%,18.48%,1.63,32.53%,"Apr 30, 2026",1.00,0.23%,13.84%,45.09,2.56,6.58% 7.09%,1.56,-10.36%,-0.81%,1.16,70.30,35.86%,0.35,-1.90%,-4.01%,0.93,58.69,11500,0.33,Apr 30 BMO,-14.80%,1.68M,57.44,"Sep 30, 1983",Yes / Yes,-9.74% -2.92%,"

","1,585,748",-2.13%,AOS,2026-06-24,SP500_FUNDAMENTALS
Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,Mega,S&P 500,115.79,2.03,0.28%,1.77B,5.94%,414.77B,14.47,16.22,-0.93%,1.76B,9.45%,478.28B,0.68,3.76,77.31%,1.31%,14.56%,3.60B,6.60,42.28%,-0.25%,3.75,5.36%,62.82B,-,14.02%,2.64%,23.16M,2.74%,-3.77,44.17,21.35%,15221.82%,244.81 -4.11%,27.75%,5.32,20.76,-29.11% -2.81%,6.21%,181.73 29.18%,72.72%,6.84 (2.91%),16.38,1.75% 5.95%,70.58%,2.69%,2.40%,105.93%,6.74 (2.87%),7.61,-13.63%,33.58%,6.08,282.91%,"Jul 15, 2026",0.68,9.50%,5.72%,65.92,1.70,5.21% 6.56%,0.80,-46.38%,5.87%,0.28,254.15,281.66%,-,12.43%,10.39%,1.16,230.01,57000,-,Apr 29 BMO,6.34%,6.18M,234.76,"Dec 10, 2012",Yes / Yes,2.25% 1.93%,"

","7,366,040",2.07%,ABBV,2026-06-24,SP500_FUNDAMENTALS
Adobe Inc,Technology,Software - Application,USA,Large,"NDX, S&P 500",11.29,17.48,0.27%,399.00M,-4.33%,78.48B,7.19,27.46,-6.83%,396.43M,-19.12%,79.92B,0.49,6.05,85.91%,4.71%,-20.28%,7.23B,3.11,16.28%,-3.21%,3.08,-44.51%,25.20B,6.84,12.76%,24.91%,18.66M,-43.59%,28.87,13.95,14.60%,62.95%,392.58 -49.71%,-48.06%,14.15,7.63,18.25% 9.04%,43.42%,190.12 3.84%,-59.27%,-,7.98,10.89% 13.06%,88.82%,3.94%,3.97%,-65.62%,-,3.17,11.45%,36.74%,10.09,105.21%,"Mar 24, 2005",0.75,11.49%,28.69%,29.98,2.55,- -,0.75,8.04%,-14.50%,1.46,270.57,0.00%,0.61,12.69%,-17.88%,1.14,194.90,31360,0.45,Jun 11 AMC,-32.80%,6.06M,197.43,"Aug 13, 1986",Yes / Yes,2.48% 2.54%,"

","6,906,761",1.30%,ADBE,2026-06-24,SP500_FUNDAMENTALS
Accenture plc,Technology,Information Technology Services,Ireland,Large,S&P 500,10.14,12.52,0.39%,611.86M,-23.19%,77.72B,8.67,14.65,-1.41%,611.52M,-28.59%,77.56B,1.29,3.18,85.16%,4.23%,-36.50%,7.79B,1.06,7.17%,1.18%,3.92,-52.95%,73.10B,2.44,5.74%,11.79%,25.84M,-52.66%,52.12,7.64,6.70%,24.95%,307.77 -58.73%,-56.95%,16.62,6.18,4.30% 9.01%,19.76%,118.15 7.50%,-57.44%,6.49 (5.11%),5.94,4.19% 9.47%,31.73%,5.28%,4.26%,-55.54%,6.37 (5.02%),1.06,-0.66%,15.47%,8.84,6.81%,"Jul 09, 2026",1.34,6.74%,10.66%,22.36,1.97,15.12% 13.09%,1.34,9.01%,-24.38%,1.15,179.48,48.71%,0.26,5.59%,-27.64%,3.40,124.83,779000,0.24,Jun 18 BMO,-43.51%,6.59M,127.01,"Jul 19, 2001",Yes / Yes,2.43% -0.32%,"

","23,534,674",1.75%,ACN,2026-06-24,SP500_FUNDAMENTALS
AES Corp,Utilities,Utilities - Diversified,USA,Large,S&P 500,7.61,1.93,0.68%,713.14M,0.14%,10.48B,5.99,2.45,0.00%,708.32M,0.07%,47.06B,1.81,0.54,92.33%,3.09%,4.40%,1.38B,0.84,-0.77%,3.09%,2.14,7.46%,12.45B,2.37,5.62%,2.72%,21.92M,2.51%,6.20,4.66,3.31%,23.63%,17.65 -16.71%,44.83%,3.15,-,- 82.82%,3.93%,10.02 46.71%,-28.05%,0.71 (4.82%),12.57,-1.03% 4.83%,19.25%,0.42%,0.38%,-43.16%,0.70 (4.79%),3.78,5.46%,17.60%,0.07,21.49%,"May 01, 2026",0.65,2.76%,11.08%,58.68,3.00,3.03% 3.83%,0.73,955.97%,0.19%,0.93,15.00,53.52%,4.24,7.55%,1.08%,0.84,14.65,8336,3.80,May 05 AMC,2.40%,10.25M,14.70,"Jun 26, 1991",Yes / Yes,105.02% 2.37%,"

","8,684,479",0.34%,AES,2026-06-24,SP500_FUNDAMENTALS
Advanced Micro Devices Inc,Technology,Semiconductors,USA,Mega,"NDX, S&P 500",170.62,3.05,0.56%,1.63B,-5.01%,847.67B,39.07,13.31,-6.61%,1.62B,15.63%,839.18B,0.62,1.60,69.45%,2.72%,156.49%,5.01B,22.63,79.27%,-0.90%,1.17,158.55%,37.45B,13.15,77.99%,6.52%,44.07M,142.74%,39.55,68.59,62.77%,8.06%,562.99 -7.66%,301.18%,7.58,98.86,46.65% 5.13%,7.43%,126.82 309.91%,372.55%,-,113.65,13.64% 28.82%,47.09%,5.02%,5.91%,520.20%,-,22.41,123.87%,11.65%,33.42,9877.93%,-,1.96,34.97%,13.37%,56.48,1.50,- -,2.72,92.25%,2.02%,2.47,498.62,0.00%,0.06,37.85%,22.94%,0.78,551.63,31000,0.05,May 05 AMC,96.25%,37.74M,519.85,"Oct 15, 1979",Yes / Yes,6.24% 3.57%,"

","30,190,686",-5.76%,AMD,2026-06-24,SP500_FUNDAMENTALS
Aflac Inc,Financial,Insurance - Life,USA,Large,S&P 500,13.48,8.81,11.00%,510.53M,1.56%,60.46B,15.63,7.60,-2.57%,453.00M,0.83%,-,7.27,1.78,59.94%,2.00%,11.38%,4.64B,3.34,-5.68%,-1.68%,3.64,7.54%,18.11B,2.02,7.59%,3.93%,9.08M,7.73%,58.69,-,2.15%,16.47%,119.81 -0.85%,13.31%,-,20.61,-0.54% 0.43%,12.36%,96.95 22.53%,76.93%,2.44 (2.06%),-,-3.57% -4.97%,-,1.85%,1.95%,125.45%,2.38 (2.00%),-,37.42%,32.26%,2.27,231.03%,"May 20, 2026",-,7.25%,25.60%,59.32,3.12,13.19% 15.68%,1.05,3634.91%,2.67%,0.59,112.43,34.04%,0.26,27.90%,3.00%,1.33,116.55,12716,0.25,Apr 29 AMC,6.49%,2.49M,118.79,"Jun 14, 1974",Yes / Yes,-2.44% 3.41%,"

","3,460,511",1.92%,AFL,2026-06-24,SP500_FUNDAMENTALS
Air Products & Chemicals Inc,Basic Materials,Specialty Chemicals,USA,Large,S&P 500,29.88,9.45,0.13%,222.68M,-0.18%,62.90B,19.74,14.31,-20.11%,222.40M,-2.67%,82.80B,2.21,3.34,93.73%,1.41%,1.36%,2.11B,5.05,9.87%,-2.90%,2.62,15.88%,12.46B,4.02,8.27%,5.25%,3.13M,14.34%,70.28,66.14,8.92%,13.94%,307.96 -8.28%,3.39%,4.27,-,- -,6.29%,229.11 23.28%,-1.33%,7.23 (2.56%),18.18,-1.77% 6.33%,31.97%,1.93%,2.07%,-2.88%,7.18 (2.54%),6.64,37.17%,24.02%,6.20,109.23%,"Jul 01, 2026",1.21,3.69%,16.91%,46.65,1.80,3.93% 6.63%,1.43,141.03%,0.33%,0.74,335.42,-,1.17,8.77%,-3.06%,1.41,283.11,21300,1.14,Apr 30 BMO,3.13%,1.19M,282.45,"Nov 13, 1961",Yes / Yes,4.59% 3.32%,"

","1,874,234",-0.23%,APD,2026-06-24,SP500_FUNDAMENTALS
