Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker,Fetch_Date,Source_Index
McCormick & Co Inc,Consumer Defensive,Packaged Foods,USA,Large,S&P 500,7.64,6.10,6.23%,253.94M,-0.45%,12.53B,14.04,3.32,-0.67%,251.97M,-3.86%,17.85B,2.13,0.70,86.56%,5.35%,-28.57%,1.64B,1.76,3.18%,-2.55%,3.16,-28.76%,7.11B,1.79,7.27%,11.24%,13.48M,-31.55%,25.98,70.49,6.58%,26.50%,78.16 -40.35%,-36.35%,0.66,18.41,5.10% 1.08%,15.53%,44.82 4.02%,-47.30%,1.91 (4.10%),12.79,2.51% 4.08%,38.21%,3.15%,2.75%,-48.09%,1.86 (3.99%),2.51,109.20%,16.24%,1.41,-5.32%,"Apr 20, 2026",0.36,5.68%,23.12%,41.50,2.17,6.74% 7.74%,0.76,523.59%,-0.62%,0.64,61.91,61.43%,0.71,16.72%,-6.06%,0.72,46.29,14100,0.52,Mar 31 BMO,-24.85%,4.27M,46.62,"Mar 17, 1980",Yes / Yes,11.19% 4.89%,"

","3,085,077",0.71%,MKC,2026-06-05,SP500_FUNDAMENTALS
Mastercard Incorporated,Financial,Credit Services,USA,Mega,S&P 500,27.88,17.28,8.34%,880.00M,-2.43%,425.68B,21.12,22.81,-0.01%,809.91M,-3.08%,435.87B,1.33,4.76,82.27%,0.88%,-8.18%,15.57B,12.52,15.67%,-1.25%,2.01,-11.75%,34.01B,63.60,15.95%,30.86%,7.12M,-15.61%,7.57,48.54,15.86%,232.56%,601.77 -19.94%,-17.53%,9.93,24.52,17.34% 20.99%,65.06%,464.52 3.71%,28.91%,3.48 (0.72%),20.38,13.90% 16.50%,96.57%,2.54%,2.04%,31.62%,3.26 (0.68%),12.82,21.18%,59.46%,11.61,401.68%,"Apr 09, 2026",0.98,17.06%,45.78%,41.28,1.25,15.58% 13.94%,0.98,21.14%,-2.40%,0.74,650.38,19.07%,2.82,16.20%,-3.67%,1.14,471.55,39800,2.56,Apr 30 BMO,-10.76%,3.54M,481.76,"May 25, 2006",Yes / Yes,4.37% 1.68%,"

","4,020,605",2.17%,MA,2026-06-05,SP500_FUNDAMENTALS
Mckesson Corp,Healthcare,Medical Distribution,USA,Large,S&P 500,19.68,38.47,0.07%,120.20M,-0.00%,90.99B,15.03,50.37,-13.15%,120.12M,-5.50%,96.87B,1.09,9.68,92.77%,2.40%,-18.73%,4.76B,0.23,13.15%,-0.63%,2.83,-8.77%,403.43B,-,13.83%,6.05%,2.88M,-7.72%,-18.10,22.37,13.77%,-,999.00 -24.23%,6.69%,33.84,15.91,15.30% -,97.42%,637.00 18.83%,94.01%,3.15 (0.42%),13.65,13.39% 11.11%,3.40%,1.92%,2.67%,288.30%,3.28 (0.43%),0.24,48.80%,1.58%,18.31,305.96%,"Jun 01, 2026",0.49,12.36%,1.18%,44.32,1.38,14.90% 13.68%,0.85,36.97%,0.93%,0.32,948.27,8.26%,-,6.02%,-6.31%,0.89,739.53,43000,-,May 07 AMC,-7.65%,1.02M,756.95,"Nov 10, 1994",Yes / Yes,1.08% -4.98%,"

","902,693",2.36%,MCK,2026-06-05,SP500_FUNDAMENTALS
McDonald's Corp,Consumer Cyclical,Restaurants,USA,Large,"DJIA, S&P 500",22.48,12.13,0.04%,710.40M,-1.89%,193.77B,19.21,14.19,-22.35%,710.11M,-4.37%,247.48B,2.47,3.35,76.31%,1.46%,-16.71%,8.68B,7.06,6.47%,0.92%,2.86,-9.31%,27.45B,-,9.28%,14.92%,10.33M,-10.77%,-1.81,165.61,7.79%,-,341.75 -20.20%,-12.47%,1.65,27.53,12.78% 13.64%,16.41%,271.98 0.27%,-5.93%,7.50 (2.75%),16.65,5.06% 6.96%,57.31%,1.81%,1.84%,16.86%,7.35 (2.70%),9.02,6.96%,45.97%,5.00,124.74%,"Jun 02, 2026",1.12,6.76%,31.62%,33.26,2.00,8.20% 7.30%,1.14,6.86%,-1.93%,0.42,330.62,59.99%,-,9.42%,-6.66%,0.98,273.29,150000,-,May 07 BMO,-11.11%,3.62M,272.72,"Jul 05, 1966",Yes / Yes,3.11% 0.71%,"

","3,541,623",-0.21%,MCD,2026-06-05,SP500_FUNDAMENTALS
Medtronic Plc,Healthcare,Medical Devices,Ireland,Large,S&P 500,22.02,3.72,0.10%,1.28B,8.42%,105.19B,12.82,6.39,-3.93%,1.28B,5.32%,125.09B,1.61,1.39,88.54%,1.14%,-11.91%,4.80B,2.89,8.02%,0.67%,1.50,-19.70%,36.36B,2.15,6.99%,5.09%,14.65M,-14.71%,38.17,12.55,7.98%,9.38%,106.33 -22.95%,-4.29%,6.53,19.39,9.78% 6.97%,6.25%,73.31 11.76%,-2.18%,2.87 (3.50%),12.26,5.21% 3.84%,67.59%,2.54%,2.19%,-33.85%,2.84 (3.47%),3.44,3.17%,19.91%,2.04,-1.22%,"Jun 26, 2026",1.87,8.43%,13.20%,60.23,1.87,1.45% 4.13%,2.54,16.96%,6.67%,0.59,96.61,76.14%,0.57,9.86%,0.61%,2.03,77.95,95000,0.57,Jun 03 BMO,-11.43%,9.77M,81.93,"Nov 21, 1977",Yes / Yes,0.64% 1.94%,"

","19,849,638",5.11%,MDT,2026-06-05,SP500_FUNDAMENTALS
Merck & Co Inc,Healthcare,Drug Manufacturers - General,USA,Mega,"DJIA, S&P 500",33.85,3.55,0.18%,2.47B,0.31%,297.02B,12.47,9.64,-7.11%,2.47B,6.28%,340.42B,2.08,2.11,81.03%,1.18%,3.61%,8.94B,4.53,-42.78%,-0.63%,3.02,19.03%,65.51B,6.47,87.61%,7.33%,29.06M,14.25%,18.58,51.45,5.99%,18.97%,125.14 -3.90%,53.65%,2.34,21.04,8.43% 21.23%,9.65%,76.66 56.87%,6.88%,3.21 (2.67%),14.11,3.55% 9.34%,73.44%,2.50%,2.24%,62.27%,3.32 (2.76%),5.20,-48.28%,27.50%,3.15,122.67%,"Jun 15, 2026",1.06,2.70%,13.64%,58.80,1.70,5.42% 5.75%,1.30,-185.47%,4.21%,0.22,131.83,45.05%,1.07,3.72%,3.54%,1.65,114.70,75000,1.02,Apr 30 BMO,15.91%,9.61M,120.26,"Jun 15, 1946",Yes / Yes,13.15% 2.77%,"

","15,933,920",4.85%,MRK,2026-06-05,SP500_FUNDAMENTALS
Metlife Inc,Financial,Insurance - Life,USA,Large,S&P 500,16.14,5.17,16.20%,646.02M,1.83%,53.70B,7.60,10.99,-0.02%,539.19M,4.46%,-,0.66,2.39,78.16%,2.25%,14.42%,3.43B,0.69,12.26%,-0.63%,3.41,9.43%,77.59B,1.97,10.84%,0.51%,12.11M,5.73%,42.30,-,11.53%,13.20%,85.29 -2.15%,5.90%,-,3.25,-9.24% -3.68%,7.49%,67.33 23.96%,57.56%,2.35 (2.82%),-,3.88% 2.59%,-,2.35%,2.23%,25.39%,2.30 (2.75%),-,-16.00%,7.58%,1.87,111.41%,"May 12, 2026",-,5.57%,4.43%,60.63,1.76,4.35% 4.33%,5.07,35.88%,2.78%,0.78,93.47,47.69%,0.78,2.72%,7.49%,1.08,80.96,46000,0.77,May 06 AMC,7.16%,3.55M,83.46,"Apr 05, 2000",Yes / Yes,6.54% -2.12%,"

","3,809,428",3.09%,MET,2026-06-05,SP500_FUNDAMENTALS
Meta Platforms Inc,Communication Services,Internet Content & Information,USA,Mega,"NDX, S&P 500",22.82,27.51,13.70%,2.20B,-1.22%,1593.04B,17.94,34.99,-0.06%,2.19B,3.74%,1598.29B,0.91,7.18,67.43%,1.47%,-5.00%,70.59B,7.41,40.07%,-0.07%,1.96,-3.02%,214.96B,6.54,6.34%,20.90%,32.15M,-4.93%,96.01,19.54,19.69%,32.93%,796.25 -21.18%,-8.78%,32.11,33.01,39.86% 18.41%,21.52%,520.26 20.63%,130.21%,1.98 (0.32%),14.62,19.89% 18.51%,81.94%,3.41%,2.52%,89.97%,2.10 (0.33%),7.44,6.07%,41.21%,17.54,429.73%,"Jun 15, 2026",2.35,26.18%,32.84%,53.12,1.26,- -,2.35,62.49%,2.23%,1.23,822.35,8.94%,0.36,33.08%,1.29%,1.29,622.98,78865,0.35,Apr 29 AMC,-5.38%,16.42M,627.57,"May 18, 2012",Yes / Yes,55.89% 1.36%,"

","21,467,918",0.74%,META,2026-06-05,SP500_FUNDAMENTALS
MGM Resorts International,Consumer Cyclical,Resorts & Casinos,USA,Large,S&P 500,66.12,0.72,27.43%,255.85M,11.67%,12.27B,22.81,2.10,3.02%,185.67M,26.46%,42.56B,-,0.54,67.46%,13.70%,29.11%,187.73M,0.69,-47.01%,-5.28%,4.87,35.65%,17.72B,5.04,19.81%,0.45%,25.43M,31.38%,9.51,5.35,-5.92%,7.10%,51.59 -7.08%,49.86%,8.96,6.96,-39.80% -,0.55%,29.18 64.26%,17.76%,-,18.72,10.14% 27.71%,38.26%,3.91%,3.69%,12.09%,-,2.40,-67.21%,6.94%,1.90,99.25%,"Dec 08, 2022",1.30,3.39%,1.06%,72.14,2.31,- -,1.33,-5.90%,18.33%,1.30,46.61,0.00%,13.02,4.15%,22.86%,0.70,48.30,78000,12.94,Apr 29 AMC,33.05%,5.23M,47.94,"May 02, 1988",Yes / Yes,-1.29% 1.97%,"

","3,689,298",-0.75%,MGM,2026-06-05,SP500_FUNDAMENTALS
Mettler-Toledo International Inc,Healthcare,Diagnostics & Research,USA,Large,S&P 500,27.69,42.64,0.72%,20.21M,1.46%,23.85B,23.07,51.16,-0.55%,20.06M,-9.36%,26.02B,2.30,10.80,103.07%,3.37%,-6.40%,875.06M,5.83,9.16%,-0.59%,3.70,-18.43%,4.09B,-,9.68%,25.35%,0.68M,-15.33%,-2.07,393.84,10.04%,-,1525.17 -22.60%,0.92%,3.00,30.05,3.07% 11.04%,41.28%,1023.05 15.39%,-11.42%,-,20.75,0.90% 5.47%,57.31%,2.34%,3.58%,-6.07%,-,6.36,6.19%,27.52%,40.15,215.55%,-,0.84,6.78%,21.40%,52.83,2.20,- -,1.20,6.68%,5.69%,1.26,1339.45,0.00%,-,7.17%,-3.27%,0.99,1169.32,18100,-,May 07 AMC,-10.76%,182.69K,1180.48,"Nov 14, 1997",Yes / Yes,2.27% 0.42%,"

","183,610",0.95%,MTD,2026-06-05,SP500_FUNDAMENTALS
Microchip Technology Inc,Technology,Semiconductors,USA,Large,"NDX, S&P 500",446.04,0.22,2.00%,542.08M,0.27%,52.20B,23.59,4.08,-6.84%,531.24M,-2.21%,57.60B,0.59,0.70,96.83%,5.51%,42.01%,118.80M,11.08,91.95%,-0.28%,2.89,69.81%,4.71B,8.12,29.71%,1.55%,29.26M,51.13%,11.87,217.24,40.06%,3.40%,105.91 -9.07%,48.91%,0.44,59.93,-62.14% -19.53%,1.91%,48.52 98.47%,24.74%,1.83 (1.90%),47.25,-17.65% -2.82%,43.55%,4.53%,4.45%,23.95%,1.82 (1.89%),12.22,5446.34%,11.24%,4.40,271.74%,"May 22, 2026",1.18,7.08%,2.52%,56.88,1.59,13.04% 19.40%,2.09,172.91%,0.57%,1.72,116.35,835.25%,0.88,35.11%,13.10%,0.94,96.55,17900,0.87,May 07 AMC,35.29%,10.12M,96.30,"Mar 19, 1993",Yes / Yes,12.89% 3.78%,"

","9,555,842",-0.26%,MCHP,2026-06-05,SP500_FUNDAMENTALS
