Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker,Fetch_Date,Source_Index
Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,Mega,S&P 500,107.38,2.03,0.12%,1.77B,1.50%,384.67B,13.39,16.26,-2.14%,1.76B,6.78%,448.18B,0.62,3.76,76.21%,1.28%,-6.19%,3.60B,6.12,42.40%,0.39%,3.39,-6.07%,62.82B,-,14.18%,2.64%,22.59M,-4.71%,-3.77,40.96,21.45%,15221.82%,244.81 -11.07%,17.29%,5.32,19.25,-29.11% -2.81%,6.21%,181.73 19.80%,58.27%,6.84 (3.14%),15.35,1.75% 5.95%,70.58%,2.08%,2.28%,92.33%,6.74 (3.10%),7.13,-13.63%,33.58%,5.15,247.19%,"Apr 15, 2026",0.68,9.50%,5.72%,61.65,1.67,5.21% 6.56%,0.80,-46.38%,3.65%,0.31,253.12,281.66%,-,12.43%,4.56%,1.14,218.63,57000,-,Apr 29 BMO,-0.85%,6.67M,217.72,"Dec 10, 2012",Yes / Yes,2.23% 1.93%,"

","7,581,072",-0.42%,ABBV,2026-05-30,SP500_FUNDAMENTALS
Abbott Laboratories,Healthcare,Medical Devices,USA,Large,S&P 500,23.85,3.59,0.68%,1.74B,-2.47%,149.10B,14.14,6.05,0.31%,1.73B,-6.27%,176.49B,1.50,1.28,81.62%,1.34%,-26.43%,6.28B,3.30,6.29%,1.10%,1.88,-33.15%,45.13B,2.86,10.61%,6.54%,23.22M,-31.68%,29.89,20.44,9.42%,12.45%,139.06 -38.44%,-35.57%,4.19,20.21,-1.70% 8.23%,7.68%,81.97 4.43%,-16.79%,2.47 (2.88%),15.78,0.51% 5.08%,52.84%,1.76%,2.23%,-26.62%,2.44 (2.85%),3.91,-53.44%,17.77%,2.01,117.81%,"Apr 15, 2026",1.01,6.59%,13.91%,37.93,1.60,7.72% 9.42%,1.39,-17.14%,-0.84%,0.62,116.32,64.54%,0.65,7.78%,-9.14%,1.71,86.30,115000,0.57,Apr 16 BMO,-26.58%,12.33M,85.60,"Mar 01, 1937",Yes / Yes,0.46% 1.49%,"

","21,126,284",-0.81%,ABT,2026-05-30,SP500_FUNDAMENTALS
A.O. Smith Corp,Industrials,Specialty Industrial Machinery,USA,Mid,S&P 500,15.13,3.75,19.91%,111.96M,-0.79%,7.82B,13.63,4.16,-0.01%,110.38M,-10.93%,8.27B,2.70,0.98,87.89%,6.93%,-27.28%,527.60M,2.05,-1.70%,1.89%,4.78,-13.29%,3.81B,4.16,9.98%,15.25%,7.65M,-15.19%,13.63,38.34,5.05%,28.27%,81.86 -30.72%,-12.37%,1.48,12.07,36.51% 12.66%,21.16%,54.16 4.73%,-14.92%,1.45 (2.55%),10.43,0.67% 5.76%,38.70%,1.90%,2.84%,-20.19%,1.42 (2.50%),2.17,4.76%,18.48%,1.60,36.12%,"Apr 30, 2026",1.00,0.23%,13.84%,37.26,2.56,6.58% 7.09%,1.56,-10.36%,-2.21%,1.18,70.80,35.86%,0.35,-1.90%,-8.77%,1.08,57.62,11500,0.33,Apr 30 BMO,-17.26%,1.60M,56.72,"Sep 30, 1983",Yes / Yes,-9.74% -2.92%,"

","1,722,946",-1.56%,AOS,2026-05-30,SP500_FUNDAMENTALS
3M Co,Industrials,Conglomerates,USA,Large,"DJIA, S&P 500",29.54,5.18,0.08%,521.57M,1.01%,79.87B,16.14,9.49,-11.06%,521.12M,6.44%,88.89B,1.91,2.23,76.55%,1.64%,-7.37%,2.79B,3.19,7.85%,0.60%,2.19,-10.73%,25.02B,24.48,9.16%,7.39%,8.54M,-4.35%,6.26,19.25,8.45%,72.14%,177.41 -13.69%,2.34%,7.95,38.77,-16.13% -8.50%,19.13%,139.34 9.90%,88.93%,2.72 (1.78%),14.10,-10.01% -4.97%,39.55%,1.58%,2.19%,-9.79%,3.02 (1.97%),3.55,-34.33%,19.82%,3.58,8.45%,"May 22, 2026",1.19,2.08%,11.14%,58.35,2.25,-21.17% -13.06%,1.59,-39.85%,3.59%,1.02,178.33,48.63%,4.02,1.28%,3.95%,1.98,152.85,60500,3.46,Apr 21 BMO,-2.85%,3.90M,153.13,"Jan 14, 1946",Yes / Yes,8.14% -0.09%,"

","7,725,009",0.18%,MMM,2026-05-30,SP500_FUNDAMENTALS
Accenture plc,Technology,Information Technology Services,Ireland,Large,S&P 500,15.32,12.21,0.26%,614.84M,5.17%,114.85B,12.51,14.95,-2.09%,612.34M,3.78%,115.36B,1.58,3.73,84.14%,3.94%,-10.37%,7.65B,1.59,7.31%,2.32%,3.83,-24.94%,72.11B,3.69,7.75%,12.05%,24.15M,-30.28%,50.76,12.21,7.92%,25.30%,321.77 -41.86%,-41.12%,15.32,9.19,4.30% 9.01%,19.77%,155.82 20.06%,-38.38%,6.51 (3.48%),8.91,4.19% 9.47%,31.88%,3.56%,4.11%,-33.70%,6.37 (3.41%),1.60,0.49%,15.56%,7.35,57.28%,"Apr 09, 2026",1.34,7.27%,10.61%,57.98,1.70,15.12% 13.09%,1.34,3.98%,6.34%,1.06,251.78,48.71%,0.27,8.31%,0.96%,1.71,178.40,779000,0.24,Jun 18 BMO,-19.34%,6.30M,187.07,"Jul 19, 2001",Yes / Yes,3.37% 1.13%,"

","10,771,518",4.86%,ACN,2026-05-30,SP500_FUNDAMENTALS
AES Corp,Utilities,Utilities - Diversified,USA,Large,S&P 500,7.59,1.93,0.60%,713.14M,-0.14%,10.46B,6.04,2.43,0.00%,708.86M,1.52%,47.04B,1.99,0.56,91.50%,2.50%,-15.10%,1.38B,0.84,-0.90%,3.47%,1.30,6.23%,12.45B,2.37,4.76%,2.72%,17.69M,2.30%,6.20,4.65,3.03%,23.63%,17.65 -16.88%,45.97%,3.15,-,- 82.82%,3.93%,9.75 50.46%,-26.17%,0.71 (4.82%),12.56,-1.03% 4.83%,19.25%,0.31%,0.54%,-42.27%,0.70 (4.80%),3.78,5.46%,17.60%,0.08,32.04%,"May 01, 2026",0.65,2.76%,11.08%,63.25,2.83,3.03% 3.83%,0.73,955.97%,1.20%,0.95,15.12,53.52%,4.24,7.55%,1.95%,0.61,14.69,8336,3.80,May 05 AMC,3.00%,13.66M,14.67,"Jun 26, 1991",Yes / Yes,105.02% 2.37%,"

","8,366,640",-0.14%,AES,2026-05-30,SP500_FUNDAMENTALS
Adobe Inc,Technology,Software - Application,USA,Large,"NDX, S&P 500",15.10,17.17,0.20%,406.00M,6.19%,104.77B,9.81,26.42,-8.88%,403.40M,6.42%,104.54B,0.79,5.82,83.46%,4.70%,-1.22%,7.21B,4.28,12.37%,-2.10%,3.51,-18.88%,24.45B,9.20,12.29%,24.16%,18.98M,-25.94%,28.16,15.21,12.36%,58.77%,421.48 -38.50%,-37.29%,17.05,10.16,18.25% 9.04%,42.01%,224.13 15.65%,-37.60%,-,10.67,10.89% 13.06%,88.77%,3.58%,3.45%,-48.63%,-,4.28,12.71%,36.91%,9.68,158.85%,"Mar 24, 2005",0.91,10.96%,29.48%,58.75,2.41,- -,0.91,11.16%,4.52%,1.40,319.55,0.00%,0.58,11.97%,6.04%,1.99,241.44,31360,0.50,Jun 11 AMC,-14.71%,5.40M,259.21,"Aug 13, 1986",Yes / Yes,3.20% 1.93%,"

","10,750,949",7.36%,ADBE,2026-05-30,SP500_FUNDAMENTALS
Advanced Micro Devices Inc,Technology,Semiconductors,USA,Mega,"NDX, S&P 500",169.39,3.05,0.49%,1.63B,14.79%,841.55B,39.38,13.10,-7.42%,1.62B,53.10%,833.07B,0.63,1.60,68.36%,2.75%,157.78%,5.01B,22.47,78.49%,-0.50%,1.18,150.38%,37.45B,13.05,76.06%,6.52%,44.70M,140.99%,39.55,68.10,62.36%,8.06%,527.20 -2.11%,356.60%,7.58,98.15,46.65% 5.13%,7.43%,108.62 375.16%,306.28%,-,112.82,13.64% 28.82%,47.09%,5.04%,5.70%,544.48%,-,22.24,123.87%,11.65%,26.03,11119.56%,-,1.96,34.97%,13.37%,75.98,1.52,- -,2.72,92.25%,17.27%,2.50,481.22,0.00%,0.06,37.85%,57.28%,0.81,518.09,31000,0.05,May 05 AMC,117.23%,37.99M,516.10,"Oct 15, 1979",Yes / Yes,6.24% 3.57%,"

","30,684,113",-0.38%,AMD,2026-05-30,SP500_FUNDAMENTALS
Aflac Inc,Financial,Insurance - Life,USA,Large,S&P 500,12.76,8.81,10.80%,510.53M,-4.58%,57.22B,14.79,7.60,-1.93%,454.01M,-3.26%,-,6.88,1.78,59.12%,1.91%,-0.45%,4.64B,3.16,-5.68%,-0.50%,3.76,0.71%,18.11B,1.92,7.58%,3.93%,8.66M,1.95%,58.69,-,2.15%,16.47%,119.81 -6.17%,9.35%,-,19.50,-0.54% 0.43%,12.36%,96.95 15.96%,74.32%,2.44 (2.17%),-,-3.57% -4.97%,-,1.69%,1.90%,98.34%,2.38 (2.12%),-,37.42%,32.26%,2.12,223.23%,"May 20, 2026",-,7.25%,25.60%,39.85,3.12,13.19% 15.68%,1.05,3634.91%,-2.57%,0.61,112.43,34.04%,0.26,27.90%,-0.56%,3.03,112.63,12716,0.25,Apr 29 AMC,1.45%,2.30M,112.42,"Jun 14, 1974",Yes / Yes,-2.44% 3.41%,"

","6,978,592",-0.19%,AFL,2026-05-30,SP500_FUNDAMENTALS
Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,Large,S&P 500,27.22,4.98,0.33%,282.22M,18.07%,38.30B,20.56,6.59,-0.60%,281.66M,21.77%,39.85B,2.23,1.49,92.72%,1.95%,11.66%,1.41B,5.30,8.08%,0.91%,2.48,-13.78%,7.23B,5.37,9.09%,11.21%,5.50M,-0.40%,25.24,21.20,9.22%,21.33%,160.27 -15.44%,19.64%,6.39,35.24,3.03% 14.68%,13.90%,108.35 25.09%,12.55%,1.02 (0.75%),21.21,0.48% 5.41%,55.95%,3.42%,3.14%,-1.88%,1.01 (0.74%),5.51,22.77%,22.15%,4.80,195.79%,"Jun 30, 2026",1.62,9.11%,19.55%,76.50,1.55,5.63% 6.58%,2.10,58.79%,16.52%,1.26,161.47,21.70%,0.47,10.01%,16.98%,2.24,135.38,18100,0.43,May 27 AMC,4.57%,2.22M,135.53,"Nov 18, 1999",Yes / Yes,5.79% 2.03%,"

","4,980,308",0.11%,A,2026-05-30,SP500_FUNDAMENTALS
