Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker,Fetch_Date,Source_Index
Air Products & Chemicals Inc,Basic Materials,Specialty Chemicals,USA,Large,S&P 500,29.47,9.45,0.06%,222.68M,-3.99%,62.04B,19.50,14.29,-35.30%,222.55M,-7.89%,81.95B,2.19,3.34,94.57%,1.41%,1.07%,2.11B,4.98,9.77%,-2.32%,2.58,7.60%,12.46B,3.96,8.22%,5.25%,3.13M,12.79%,70.28,65.24,8.92%,13.94%,307.96 -9.53%,2.00%,4.27,-,- -,6.29%,229.11 21.61%,1.75%,7.23 (2.59%),18.00,-1.77% 6.33%,31.97%,1.80%,2.12%,-7.02%,7.18 (2.58%),6.58,37.17%,24.02%,6.18,110.66%,"Jul 01, 2026",1.21,3.69%,16.91%,30.29,1.80,3.93% 6.63%,1.43,141.03%,-5.47%,0.75,335.42,-,1.17,8.77%,-5.40%,1.65,283.65,21300,1.14,Apr 30 BMO,1.38%,1.21M,278.62,"Nov 13, 1961",Yes / Yes,4.59% 3.32%,"

","2,007,021",-1.77%,APD,2026-05-30,SP500_FUNDAMENTALS
Airbnb Inc,Consumer Cyclical,Travel Services,USA,Large,"NDX, S&P 500",32.84,4.06,33.15%,419.00M,-0.70%,80.35B,22.02,6.05,-0.92%,396.74M,-4.97%,70.82B,1.04,1.26,58.82%,3.51%,-1.33%,2.52B,6.32,27.24%,-0.00%,3.75,12.44%,12.71B,10.39,18.07%,9.70%,13.91M,-1.78%,12.83,6.66,21.11%,32.33%,147.25 -9.47%,3.86%,20.02,17.70,13.17% -,24.89%,110.81 20.31%,24.81%,-,25.81,13.58% 29.50%,72.38%,2.86%,3.40%,-5.05%,-,5.57,2.35%,20.89%,4.51,-,-,1.44,13.18%,19.80%,46.19,2.17,- -,1.44,7.34%,-1.77%,1.17,156.50,0.00%,0.33,17.87%,-0.81%,1.13,134.50,8200,0.32,May 07 AMC,3.67%,3.71M,133.31,"Dec 10, 2020",Yes / Yes,-14.50% 2.34%,"

","4,195,268",-0.88%,ABNB,2026-05-30,SP500_FUNDAMENTALS
Akamai Technologies Inc,Technology,Software - Infrastructure,USA,Large,S&P 500,50.37,2.97,2.24%,145.55M,2.26%,21.74B,20.94,7.14,-4.09%,142.13M,49.84%,26.68B,5.77,1.58,110.39%,12.80%,51.99%,435.18M,5.10,-5.92%,9.89%,3.25,64.86%,4.27B,4.43,6.59%,4.02%,18.19M,71.39%,33.73,23.37,3.63%,9.17%,165.45 -9.62%,96.53%,6.40,28.43,-1.97% -1.83%,4.18%,69.78 114.30%,65.11%,-,20.44,5.18% 5.64%,54.13%,3.84%,5.26%,30.93%,-,6.25,0.30%,13.76%,7.13,175.90%,-,1.99,6.15%,10.20%,63.64,2.07,- -,1.99,-13.09%,6.86%,0.57,159.77,0.00%,1.20,5.76%,25.70%,0.99,143.13,11000,1.12,May 07 AMC,58.15%,5.60M,149.54,"Oct 29, 1999",Yes / Yes,0.40% 0.09%,"

","5,546,134",4.48%,AKAM,2026-05-30,SP500_FUNDAMENTALS
Albemarle Corp,Basic Materials,Specialty Chemicals,USA,Large,S&P 500,-,-3.41,0.27%,117.89M,3.84%,20.81B,14.70,12.00,-11.73%,117.61M,-7.58%,24.22B,-,3.07,95.04%,9.11%,-1.26%,-399.63M,3.79,1618.28%,1.71%,5.19,40.84%,5.49B,2.73,0.05%,-1.45%,10.71M,24.73%,64.60,19.09,-,-2.34%,221.00 -20.17%,206.87%,9.24,36.04,- -,-1.98%,53.70 228.53%,-13.52%,1.62 (0.92%),22.39,-11.10% 10.45%,18.53%,3.50%,4.54%,5.59%,1.62 (0.92%),4.41,69.44%,7.77%,9.14,120.28%,"Jun 12, 2026",1.21,7.87%,-7.27%,43.91,1.88,0.84% 1.02%,2.07,80748.28%,-5.23%,1.31,227.72,-,0.20,32.67%,-4.36%,1.23,176.32,7800,0.19,May 06 AMC,25.56%,2.06M,176.42,"Feb 22, 1994",Yes / Yes,147.03% 6.61%,"

","2,541,160",0.06%,ALB,2026-05-30,SP500_FUNDAMENTALS
Alexandria Real Estate Equities Inc,Real Estate,REIT - Office,USA,Mid,S&P 500,-,-6.27,2.22%,170.71M,3.82%,8.66B,-,-0.19,1.38%,170.40M,21.02%,24.87B,-,0.14,95.83%,4.28%,-8.07%,-1.07B,2.95,121.97%,-0.08%,3.26,-5.64%,2.94B,0.54,-110.44%,-2.97%,7.29M,1.51%,92.17,20.45,-,-6.43%,88.24 -43.70%,-30.27%,2.43,6.17,- -,-3.76%,39.41 26.06%,-55.42%,2.88 (5.80%),12.54,5.34% 9.93%,23.99%,2.78%,3.52%,-71.66%,4.08 (8.21%),8.46,-923.18%,22.76%,1.72,-47.69%,"Mar 31, 2026",1.44,-5.35%,-36.32%,61.57,2.94,-0.28% 1.99%,1.44,3188.68%,6.88%,1.20,51.14,-,0.83,-11.49%,8.03%,1.39,50.06,514,0.80,Apr 27 AMC,-14.78%,2.24M,49.68,"May 23, 1997",Yes / Yes,1094.75% -4.64%,"

","3,104,102",-0.76%,ARE,2026-05-30,SP500_FUNDAMENTALS
Align Technology Inc,Healthcare,Medical Instruments & Supplies,USA,Large,S&P 500,29.32,5.97,3.54%,71.62M,7.30%,12.53B,14.15,12.36,-0.31%,69.08M,-1.93%,11.59B,1.57,2.64,100.99%,7.12%,-7.97%,429.89M,3.06,8.24%,6.15%,4.27,18.61%,4.10B,3.02,8.66%,6.92%,4.92M,12.04%,57.94,11.82,8.99%,10.82%,208.30 -16.01%,-4.43%,14.80,21.47,7.03% -24.08%,10.16%,122.00 43.40%,-38.70%,-,12.61,2.61% 10.30%,70.40%,4.09%,3.84%,-70.35%,-,2.83,8.65%,17.85%,6.62,120.95%,-,1.28,2.89%,10.50%,56.90,1.89,- -,1.39,24.34%,5.42%,1.67,208.23,0.00%,0.03,6.21%,0.50%,1.00,173.25,20290,0.02,Apr 29 AMC,10.66%,1.15M,174.95,"Jan 26, 2001",Yes / Yes,12.40% 1.84%,"

","1,154,418",0.98%,ALGN,2026-05-30,SP500_FUNDAMENTALS
Allegion plc,Industrials,Security & Protection Services,Ireland,Large,S&P 500,17.76,7.32,0.31%,85.94M,-0.48%,11.18B,13.62,9.55,-1.26%,85.67M,-5.31%,13.09B,1.60,2.21,100.67%,4.19%,-19.29%,633.70M,2.69,7.69%,3.52%,3.72,-21.69%,4.16B,5.32,8.92%,12.83%,3.59M,-18.31%,24.45,36.19,8.54%,34.18%,183.11 -28.97%,-9.26%,3.59,15.88,12.75% 16.90%,14.81%,125.00 4.06%,21.45%,2.13 (1.64%),13.16,7.52% 8.38%,44.97%,2.16%,2.39%,-7.41%,2.08 (1.60%),3.15,2.90%,20.64%,3.44,91.31%,"Jun 15, 2026",1.19,8.87%,15.24%,41.31,2.25,7.55% 9.77%,1.91,-6.70%,-0.98%,0.88,165.55,27.44%,1.06,9.74%,-6.28%,1.54,131.37,13300,1.04,Apr 28 BMO,-18.45%,966.65K,130.07,"Nov 18, 2013",Yes / Yes,-5.04% 0.70%,"

","1,490,818",-0.99%,ALLE,2026-05-30,SP500_FUNDAMENTALS
Alliant Energy Corp,Utilities,Utilities - Regulated Electric,USA,Large,S&P 500,22.52,3.18,0.17%,257.93M,-2.28%,18.50B,19.44,3.68,0.00%,257.85M,-0.54%,30.22B,2.51,0.69,93.49%,8.62%,-1.01%,821.00M,4.19,6.22%,3.29%,10.01,4.57%,4.42B,2.49,7.71%,3.44%,22.24M,10.15%,28.77,160.83,7.76%,11.31%,75.76 -5.48%,15.78%,0.45,-,4.79% 4.94%,4.45%,59.62 20.11%,40.49%,2.15 (3.00%),16.13,1.23% 5.01%,25.78%,1.65%,1.78%,25.30%,2.08 (2.91%),6.84,10.00%,23.01%,1.24,94.38%,"Apr 30, 2026",0.53,8.34%,18.58%,44.38,2.00,5.88% 5.96%,0.69,4.50%,-1.45%,0.55,79.32,64.61%,1.60,4.96%,-0.76%,1.35,72.17,2948,1.48,Apr 30 AMC,4.66%,2.22M,71.61,"Mar 30, 1976",Yes / Yes,3.34% 10.09%,"

","2,991,879",-0.78%,LNT,2026-05-30,SP500_FUNDAMENTALS
Allstate Corp,Financial,Insurance - Property & Casualty,USA,Large,S&P 500,4.55,45.33,0.51%,258.00M,-3.89%,53.05B,7.89,26.13,-13.94%,256.11M,-2.94%,-,-,4.62,84.46%,2.94%,-3.93%,12.03B,0.78,-14.89%,1.88%,5.14,-3.08%,68.17B,1.80,-11.85%,11.01%,7.53M,-0.99%,114.75,-,-9.94%,45.26%,227.62 -9.46%,-0.32%,-,4.60,- 17.07%,31.06%,188.08 9.58%,88.16%,4.31 (2.09%),-,9.60% 10.06%,-,1.98%,2.35%,50.86%,4.08 (1.98%),-,209.62%,21.11%,4.97,204.51%,"Jun 01, 2026",-,4.40%,17.64%,37.58,2.17,5.57% 13.12%,0.41,339.11%,-4.42%,0.19,243.36,10.51%,0.24,2.97%,-3.22%,1.95,207.28,53300,0.24,Apr 29 AMC,-0.39%,1.46M,206.09,"Jun 03, 1993",Yes / Yes,45.68% -2.93%,"

","2,857,416",-0.57%,ALL,2026-05-30,SP500_FUNDAMENTALS
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,"NDX, S&P 500",29.01,13.11,52.10%,5.82B,-1.89%,4586.91B,25.86,14.71,-0.04%,5.80B,8.69%,4554.77B,1.54,2.88,38.92%,1.42%,22.00%,160.21B,10.84,31.53%,0.77%,2.93,17.59%,423.17B,9.63,3.46%,27.17%,82.14M,21.51%,39.51,36.16,16.79%,38.88%,408.61 -6.92%,121.31%,10.52,71.19,33.35% 29.82%,28.04%,162.00 134.78%,205.22%,0.86 (0.23%),27.50,12.78% 17.18%,60.43%,1.83%,2.38%,222.75%,0.84 (0.22%),10.76,46.22%,33.63%,9.50,917.50%,"Jun 08, 2026",1.92,17.77%,37.86%,52.90,1.38,- -,1.92,81.96%,-2.76%,1.25,434.35,7.68%,0.20,22.34%,9.43%,1.56,390.13,190820,0.19,Apr 29 AMC,26.81%,28.03M,380.34,"Aug 19, 2004",Yes / Yes,90.52% 2.73%,"

","43,828,594",-2.51%,GOOGL,2026-05-30,SP500_FUNDAMENTALS
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,"NDX, S&P 500",28.72,13.11,58.17%,5.46B,-1.84%,4586.91B,25.59,14.71,-0.03%,5.07B,8.38%,4554.77B,1.53,2.88,27.29%,0.86%,20.87%,160.21B,10.84,31.48%,0.76%,2.32,16.31%,423.17B,9.53,3.49%,27.17%,43.54M,19.96%,39.51,36.16,16.77%,38.88%,404.47 -6.93%,117.64%,10.41,71.19,33.35% 29.82%,28.04%,163.33 130.47%,200.11%,0.86 (0.23%),27.50,12.78% 17.18%,60.43%,1.94%,2.39%,212.19%,0.84 (0.22%),10.76,46.22%,33.63%,9.36,927.57%,"Jun 08, 2026",1.92,17.77%,37.86%,52.46,1.38,- -,1.92,81.96%,-2.89%,1.24,434.15,7.68%,0.20,22.34%,9.09%,2.51,386.12,190820,0.19,Apr 29 AMC,25.62%,18.77M,376.43,"Mar 27, 2014",Yes / Yes,90.44% 2.74%,"

","47,063,700",-2.51%,GOOG,2026-05-30,SP500_FUNDAMENTALS
Altria Group Inc,Consumer Defensive,Tobacco,USA,Large,S&P 500,14.54,4.78,0.15%,1.67B,-5.60%,116.19B,11.83,5.88,-1.41%,1.67B,2.02%,137.31B,2.80,1.49,63.03%,3.09%,0.78%,8.03B,5.70,4.82%,-0.19%,5.50,19.27%,20.40B,-,3.54%,22.84%,51.60M,20.67%,-1.92,32.86,4.22%,-,74.56 -6.68%,16.98%,2.12,13.47,8.89% 11.40%,38.52%,54.70 27.20%,55.97%,4.34 (6.23%),9.78,-0.93% -0.71%,79.39%,1.97%,2.08%,41.37%,4.20 (6.04%),6.73,-19.96%,67.63%,1.49,8.79%,"Jun 15, 2026",0.48,0.75%,39.38%,45.03,2.87,4.17% 4.12%,0.62,105.23%,-3.25%,0.51,70.20,101.07%,-,5.29%,1.75%,1.40,71.97,5900,-,Apr 30 BMO,8.16%,9.38M,69.58,"Mar 15, 1923",Yes / Yes,5.91% 3.94%,"

","13,099,577",-3.32%,MO,2026-05-30,SP500_FUNDAMENTALS
Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,Mega,"DJIA, NDX, S&P 500",32.34,8.37,8.95%,10.75B,0.81%,2911.30B,26.90,10.06,-0.03%,9.79B,2.89%,2992.19B,1.25,1.81,66.69%,1.06%,28.88%,90.80B,3.92,22.63%,0.86%,2.33,17.84%,742.78B,6.59,14.42%,11.64%,104.28M,17.25%,41.09,19.95,21.58%,24.28%,278.56 -2.84%,31.57%,13.57,-,- 27.96%,13.93%,196.00 38.08%,125.33%,-,18.63,11.73% 13.18%,50.60%,2.23%,2.53%,67.94%,-,4.03,35.55%,12.14%,6.64,659.97%,-,1.01,14.22%,12.22%,59.69,1.24,- -,1.18,75.33%,0.71%,1.45,317.66,0.00%,0.51,16.61%,9.72%,1.22,274.00,1576000,0.47,Apr 29 AMC,16.90%,44.73M,270.64,"May 15, 1997",Yes / Yes,70.21% 2.39%,"

","54,580,691",-1.23%,AMZN,2026-05-30,SP500_FUNDAMENTALS
Amcor Plc,Consumer Cyclical,Packaging & Containers,Switzerland,Large,S&P 500,26.75,1.45,0.27%,462.10M,0.83%,17.95B,8.96,4.33,9.75%,461.08M,3.94%,33.08B,0.97,1.19,78.52%,6.78%,-19.84%,678.00M,0.81,11.84%,8.10%,5.88,-8.77%,22.19B,1.54,8.76%,2.44%,31.28M,-6.91%,25.21,11.31,9.28%,8.75%,50.94 -23.79%,-14.49%,3.43,24.05,-15.45% -3.49%,2.45%,36.25 7.09%,-20.69%,2.56 (6.61%),10.32,1.05% 3.78%,16.71%,2.12%,2.77%,-34.20%,2.59 (6.67%),1.49,-48.00%,7.99%,1.22,-,"May 28, 2026",0.95,64.83%,3.06%,49.04,1.74,2.05% 1.74%,1.44,-11.55%,0.57%,0.64,49.61,158.52%,1.43,77.44%,-1.39%,1.22,39.25,77000,1.38,May 06 BMO,-7.39%,5.32M,38.82,"Jun 11, 2019",Yes / Yes,0.33% 3.53%,"

","6,506,683",-1.10%,AMCR,2026-05-30,SP500_FUNDAMENTALS
Ameren Corp,Utilities,Utilities - Regulated Electric,USA,Large,S&P 500,19.40,5.57,0.37%,276.70M,-1.70%,29.88B,18.59,5.81,-5.40%,275.73M,-2.98%,51.23B,2.40,1.07,84.99%,3.56%,-4.69%,1.52B,3.37,6.90%,0.81%,5.80,2.91%,8.88B,2.20,7.98%,3.19%,9.82M,8.12%,48.99,343.46,7.75%,11.83%,115.58 -6.59%,12.27%,0.31,-,8.93% 8.84%,4.68%,93.50 15.48%,33.68%,3.02 (2.79%),13.52,3.41% 8.72%,30.55%,1.69%,1.77%,28.23%,2.88 (2.67%),5.77,23.95%,23.97%,1.93,124.42%,"Jun 09, 2026",0.44,12.32%,17.17%,42.70,1.89,6.37% 7.26%,0.62,20.43%,-1.61%,0.49,121.77,53.09%,1.57,3.77%,-2.16%,2.30,108.93,8913,1.40,May 05 AMC,2.59%,1.69M,107.97,"Jan 02, 1998",Yes / Yes,8.30% -3.03%,"

","3,900,205",-0.88%,AEE,2026-05-30,SP500_FUNDAMENTALS
