Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker,Fetch_Date,Source_Index
3M Co,Industrials,Conglomerates,USA,Large,"DJIA, S&P 500",31.49,5.18,0.12%,521.57M,3.09%,85.13B,17.18,9.50,-7.66%,520.94M,8.97%,94.16B,2.04,2.23,77.62%,1.84%,15.59%,2.79B,3.40,7.88%,-0.08%,2.54,0.65%,25.02B,26.09,9.29%,7.39%,9.59M,1.95%,6.26,20.52,8.43%,72.14%,177.41 -8.00%,13.32%,7.95,41.33,-16.13% -8.50%,19.13%,139.34 17.14%,94.39%,2.80 (1.72%),14.93,-10.01% -4.97%,39.55%,2.61%,2.44%,0.04%,3.02 (1.85%),3.76,-34.33%,19.82%,4.11,14.01%,"May 22, 2026",1.19,2.08%,11.14%,69.78,2.27,-21.17% -13.06%,1.59,-39.85%,4.77%,1.00,176.24,48.63%,4.02,1.28%,8.30%,0.69,160.60,60500,3.46,Apr 21 BMO,3.50%,3.77M,163.22,"Jan 14, 1946",Yes / Yes,8.14% -0.09%,"

","2,642,370",1.63%,MMM,2026-06-23,SP500_FUNDAMENTALS
A.O. Smith Corp,Industrials,Specialty Industrial Machinery,USA,Mid,S&P 500,15.65,3.75,19.94%,111.96M,-0.66%,8.09B,14.13,4.15,-0.01%,110.34M,3.55%,8.54B,2.80,0.97,88.76%,6.71%,-8.43%,527.60M,2.12,-1.82%,2.69%,4.39,-13.79%,3.81B,4.31,9.89%,15.25%,7.41M,-12.25%,13.63,39.67,5.05%,28.27%,81.86 -28.31%,-6.46%,1.48,12.49,36.51% 12.66%,21.16%,54.16 8.36%,-14.99%,1.45 (2.47%),10.77,0.67% 5.76%,38.70%,2.92%,2.47%,-13.59%,1.42 (2.42%),2.24,4.76%,18.48%,1.64,38.29%,"Apr 30, 2026",1.00,0.23%,13.84%,50.18,2.56,6.58% 7.09%,1.56,-10.36%,1.36%,1.16,70.30,35.86%,0.35,-1.90%,-2.20%,1.48,58.22,11500,0.33,Apr 30 BMO,-13.04%,1.69M,58.69,"Sep 30, 1983",Yes / Yes,-9.74% -2.92%,"

","2,903,391",0.81%,AOS,2026-06-23,SP500_FUNDAMENTALS
Abbott Laboratories,Healthcare,Medical Devices,USA,Large,S&P 500,24.47,3.59,0.71%,1.74B,-0.40%,152.98B,14.51,6.05,0.31%,1.73B,-0.62%,180.38B,1.54,1.28,82.55%,1.27%,-16.72%,6.28B,3.39,6.29%,0.24%,1.74,-30.68%,45.13B,2.94,10.56%,6.54%,22.04M,-29.90%,29.89,20.97,9.42%,12.45%,139.06 -36.84%,-33.96%,4.19,20.74,-1.70% 8.23%,7.68%,81.97 7.15%,-18.86%,2.47 (2.81%),16.13,0.51% 5.08%,52.84%,2.29%,2.15%,-20.85%,2.44 (2.78%),4.00,-53.44%,17.77%,2.11,126.72%,"Jul 15, 2026",1.01,6.59%,13.91%,45.78,1.55,7.72% 9.42%,1.39,-17.14%,-0.65%,0.61,115.50,64.54%,0.65,7.78%,-2.23%,0.82,88.41,115000,0.57,Apr 16 BMO,-22.56%,12.64M,87.83,"Mar 01, 1937",Yes / Yes,0.46% 1.49%,"

","11,458,236",-0.66%,ABT,2026-06-23,SP500_FUNDAMENTALS
Accenture plc,Technology,Information Technology Services,Ireland,Large,S&P 500,9.97,12.52,0.30%,613.94M,-26.69%,76.39B,8.52,14.65,-1.81%,612.10M,-30.35%,76.22B,1.27,3.18,85.07%,4.22%,-37.58%,7.79B,1.04,7.17%,1.18%,4.11,-54.40%,73.10B,2.40,5.74%,11.79%,25.84M,-53.47%,52.12,7.51,6.70%,24.95%,307.77 -59.44%,-56.26%,16.62,6.07,4.30% 9.01%,19.76%,125.60 -0.61%,-59.37%,6.49 (5.20%),5.84,4.19% 9.47%,31.73%,5.65%,4.28%,-56.30%,6.37 (5.10%),1.04,-0.66%,15.47%,9.26,4.87%,"Jul 09, 2026",1.34,6.74%,10.66%,20.01,1.97,15.12% 13.09%,1.34,9.01%,-26.81%,1.13,179.48,48.71%,0.26,5.59%,-29.31%,4.17,127.98,779000,0.24,Jun 18 BMO,-44.63%,6.29M,124.83,"Jul 19, 2001",Yes / Yes,2.43% -0.32%,"

","27,630,906",-2.46%,ACN,2026-06-23,SP500_FUNDAMENTALS
Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,Mega,S&P 500,113.45,2.03,0.12%,1.77B,1.00%,406.38B,14.18,16.22,-2.14%,1.76B,8.34%,469.89B,0.66,3.76,77.19%,1.31%,12.16%,3.60B,6.47,42.28%,-0.25%,3.75,2.54%,62.82B,-,14.02%,2.64%,23.16M,0.67%,-3.77,43.27,21.35%,15221.82%,244.81 -6.05%,24.13%,5.32,20.34,-29.11% -2.81%,6.21%,181.73 26.57%,67.39%,6.84 (2.97%),16.10,1.75% 5.95%,70.58%,2.94%,2.46%,100.53%,6.74 (2.93%),7.48,-13.63%,33.58%,6.14,280.87%,"Jul 15, 2026",0.68,9.50%,5.72%,62.31,1.69,5.21% 6.56%,0.80,-46.38%,4.17%,0.30,254.15,281.66%,-,12.43%,8.43%,1.50,216.49,57000,-,Apr 29 BMO,4.24%,6.18M,230.01,"Dec 10, 2012",Yes / Yes,2.25% 1.93%,"

","9,912,770",6.25%,ABBV,2026-06-23,SP500_FUNDAMENTALS
Adobe Inc,Technology,Software - Application,USA,Large,"NDX, S&P 500",11.15,17.48,0.24%,399.00M,-4.47%,77.47B,7.10,27.46,-7.62%,396.56M,-23.08%,78.91B,0.49,6.05,85.87%,4.71%,-21.46%,7.23B,3.07,16.28%,-3.21%,3.10,-45.05%,25.20B,6.75,12.76%,24.91%,18.66M,-44.31%,28.87,13.77,14.60%,62.95%,392.58 -50.35%,-48.29%,14.15,7.54,18.25% 9.04%,43.42%,190.12 2.51%,-59.19%,-,7.88,10.89% 13.06%,88.82%,4.01%,3.96%,-66.15%,-,3.13,11.45%,36.74%,10.43,107.32%,"Mar 24, 2005",0.75,11.49%,28.69%,27.71,2.55,- -,0.75,8.04%,-16.45%,1.44,270.57,0.00%,0.61,12.69%,-19.12%,1.31,195.16,31360,0.45,Jun 11 AMC,-33.83%,6.01M,194.90,"Aug 13, 1986",Yes / Yes,2.48% 2.54%,"

","8,280,742",-0.13%,ADBE,2026-06-23,SP500_FUNDAMENTALS
Advanced Micro Devices Inc,Technology,Semiconductors,USA,Mega,"NDX, S&P 500",181.05,3.05,0.51%,1.63B,7.83%,899.49B,41.46,13.31,-7.22%,1.62B,23.25%,891.00B,0.66,1.60,69.41%,2.72%,173.99%,5.01B,24.02,79.27%,-0.90%,1.17,178.45%,37.45B,13.95,77.99%,6.52%,44.07M,157.58%,39.55,72.79,62.77%,8.06%,558.37 -1.21%,330.15%,7.58,104.91,46.65% 5.13%,7.43%,126.82 334.97%,398.31%,-,120.67,13.64% 28.82%,47.09%,5.22%,5.92%,560.00%,-,23.79,123.87%,11.65%,32.54,10888.65%,-,1.96,34.97%,13.37%,63.08,1.51,- -,2.72,92.25%,8.81%,2.47,498.62,0.00%,0.06,37.85%,32.18%,0.67,537.37,31000,0.05,May 05 AMC,109.67%,37.77M,551.63,"Oct 15, 1979",Yes / Yes,6.24% 3.57%,"

","25,970,274",2.65%,AMD,2026-06-23,SP500_FUNDAMENTALS
AES Corp,Utilities,Utilities - Diversified,USA,Large,S&P 500,7.58,1.93,0.63%,713.14M,-0.20%,10.45B,5.97,2.45,0.00%,708.67M,-0.54%,47.03B,1.80,0.54,92.28%,3.09%,3.90%,1.38B,0.84,-0.77%,3.09%,2.13,8.68%,12.45B,2.36,5.62%,2.72%,21.92M,2.16%,6.20,4.64,3.31%,23.63%,17.65 -17.00%,40.73%,3.15,-,- 82.82%,3.93%,10.02 46.21%,-29.94%,0.71 (4.84%),12.56,-1.03% 4.83%,19.25%,0.40%,0.38%,-43.08%,0.70 (4.81%),3.78,5.46%,17.60%,0.07,22.19%,"May 01, 2026",0.65,2.76%,11.08%,53.71,3.00,3.03% 3.83%,0.73,955.97%,-0.15%,0.94,15.00,53.52%,4.24,7.55%,0.78%,0.39,14.62,8336,3.80,May 05 AMC,2.12%,10.29M,14.65,"Jun 26, 1991",Yes / Yes,105.02% 2.37%,"

","4,200,353",0.21%,AES,2026-06-23,SP500_FUNDAMENTALS
Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,Large,S&P 500,25.41,4.98,0.37%,282.22M,-2.58%,35.72B,19.18,6.60,-0.15%,281.39M,11.17%,37.27B,2.06,1.49,93.52%,1.85%,13.65%,1.41B,4.94,8.34%,-0.20%,2.34,-7.44%,7.23B,5.01,8.91%,11.21%,5.22M,-7.04%,25.24,19.77,9.29%,21.33%,160.27 -21.08%,9.46%,6.40,32.87,3.03% 14.68%,13.90%,108.35 16.74%,6.58%,1.02 (0.81%),19.25,0.48% 5.41%,52.79%,2.56%,3.00%,-13.74%,1.01 (0.80%),5.15,22.77%,22.94%,4.08,174.80%,"Jun 30, 2026",1.62,9.11%,19.55%,50.19,1.64,5.63% 6.58%,2.10,58.79%,-2.51%,1.26,160.44,21.70%,0.47,10.01%,4.22%,0.96,127.06,18100,0.43,May 27 AMC,-3.03%,2.23M,126.49,"Nov 18, 1999",Yes / Yes,5.79% 2.03%,"

","2,187,096",-0.45%,A,2026-06-23,SP500_FUNDAMENTALS
Air Products & Chemicals Inc,Basic Materials,Specialty Chemicals,USA,Large,S&P 500,29.95,9.45,0.09%,222.68M,0.53%,63.04B,19.78,14.31,-26.67%,222.48M,-2.10%,82.95B,2.22,3.34,93.69%,1.40%,0.75%,2.11B,5.06,9.87%,-2.90%,2.63,14.91%,12.46B,4.03,8.27%,5.25%,3.13M,14.61%,70.28,66.29,8.92%,13.94%,307.96 -8.07%,4.66%,4.27,-,- -,6.29%,229.11 23.57%,-1.70%,7.23 (2.55%),18.22,-1.77% 6.33%,31.97%,2.11%,2.08%,-5.00%,7.18 (2.54%),6.66,37.17%,24.02%,6.30,113.40%,"Jul 01, 2026",1.21,3.69%,16.91%,47.56,1.80,3.93% 6.63%,1.43,141.03%,0.44%,0.74,335.42,-,1.17,8.77%,-2.94%,1.58,280.21,21300,1.14,Apr 30 BMO,3.36%,1.19M,283.11,"Nov 13, 1961",Yes / Yes,4.59% 3.32%,"

","1,907,300",1.03%,APD,2026-06-23,SP500_FUNDAMENTALS
