Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker,Fetch_Date,Source_Index
A.O. Smith Corp,Industrials,Specialty Industrial Machinery,USA,Mid,S&P 500,14.88,3.75,19.91%,111.96M,-2.62%,7.69B,13.40,4.16,-0.01%,110.38M,-9.80%,8.14B,2.65,0.98,87.89%,6.93%,-28.42%,527.60M,2.02,-1.71%,1.43%,4.77,-15.91%,3.81B,4.09,9.97%,15.25%,7.65M,-16.60%,13.63,37.71,5.05%,28.27%,81.86 -31.86%,-13.26%,1.48,11.87,36.51% 12.66%,21.16%,54.16 2.99%,-13.63%,1.45 (2.60%),10.27,0.67% 5.76%,38.70%,2.06%,2.52%,-22.03%,1.42 (2.55%),2.14,4.76%,18.48%,1.59,35.24%,"Apr 30, 2026",1.00,0.23%,13.84%,34.23,2.56,6.58% 7.09%,1.56,-10.36%,-3.45%,1.18,70.80,35.86%,0.35,-1.90%,-10.03%,1.05,56.72,11500,0.33,Apr 30 BMO,-18.52%,1.60M,55.78,"Sep 30, 1983",Yes / Yes,-9.74% -2.92%,"

","1,683,010",-1.66%,AOS,2026-06-02,SP500_FUNDAMENTALS
3M Co,Industrials,Conglomerates,USA,Large,"DJIA, S&P 500",29.12,5.18,0.08%,521.57M,-0.99%,78.72B,15.91,9.49,-11.06%,521.12M,3.01%,87.75B,1.88,2.23,76.55%,1.64%,-6.52%,2.79B,3.15,7.85%,-0.04%,2.16,-11.63%,25.02B,24.13,9.16%,7.39%,8.54M,-5.73%,6.26,18.97,8.45%,72.14%,177.41 -14.93%,1.74%,7.95,38.21,-16.13% -8.50%,19.13%,139.34 8.32%,91.47%,2.72 (1.80%),13.92,-10.01% -4.97%,39.55%,1.71%,2.17%,-11.16%,3.02 (2.00%),3.51,-34.33%,19.82%,3.66,7.01%,"May 22, 2026",1.19,2.08%,11.14%,53.28,2.25,-21.17% -13.06%,1.59,-39.85%,1.82%,1.02,178.33,48.63%,4.02,1.28%,2.35%,0.67,153.13,60500,3.46,Apr 21 BMO,-4.22%,3.94M,150.93,"Jan 14, 1946",Yes / Yes,8.14% -0.09%,"

","2,691,101",-1.44%,MMM,2026-06-02,SP500_FUNDAMENTALS
Abbott Laboratories,Healthcare,Medical Devices,USA,Large,S&P 500,24.45,3.59,0.68%,1.74B,0.42%,152.90B,14.50,6.05,0.31%,1.73B,-3.32%,180.29B,1.54,1.28,81.62%,1.34%,-23.08%,6.28B,3.39,6.29%,0.52%,1.87,-31.71%,45.13B,2.94,10.61%,6.54%,23.22M,-29.94%,29.89,20.96,9.42%,12.45%,139.06 -36.88%,-34.29%,4.19,20.72,-1.70% 8.23%,7.68%,81.97 7.09%,-14.63%,2.47 (2.81%),16.12,0.51% 5.08%,52.84%,1.89%,2.30%,-17.02%,2.44 (2.78%),3.99,-53.44%,17.77%,2.03,122.23%,"Apr 15, 2026",1.01,6.59%,13.91%,46.18,1.60,7.72% 9.42%,1.39,-17.14%,1.79%,0.62,116.32,64.54%,0.65,7.78%,-6.44%,0.85,85.60,115000,0.57,Apr 16 BMO,-24.58%,12.44M,87.78,"Mar 01, 1937",Yes / Yes,0.46% 1.49%,"

","10,557,560",2.55%,ABT,2026-06-02,SP500_FUNDAMENTALS
Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,Mega,S&P 500,105.02,2.03,0.12%,1.77B,-1.28%,376.20B,13.10,16.26,-2.14%,1.76B,0.76%,439.71B,0.61,3.76,76.21%,1.28%,-9.11%,3.60B,5.99,42.40%,-0.17%,3.39,-6.47%,62.82B,-,14.18%,2.64%,22.59M,-6.81%,-3.77,40.06,21.45%,15221.82%,244.81 -13.02%,14.41%,5.32,18.83,-29.11% -2.81%,6.21%,181.73 17.17%,59.57%,6.84 (3.21%),15.06,1.75% 5.95%,70.58%,2.15%,2.24%,89.76%,6.74 (3.17%),7.00,-13.63%,33.58%,5.22,238.90%,"Apr 15, 2026",0.68,9.50%,5.72%,52.96,1.67,5.21% 6.56%,0.80,-46.38%,1.22%,0.31,253.12,281.66%,-,12.43%,2.19%,0.73,217.72,57000,-,Apr 29 BMO,-3.06%,6.66M,212.93,"Dec 10, 2012",Yes / Yes,2.23% 1.93%,"

","4,858,421",-2.20%,ABBV,2026-06-02,SP500_FUNDAMENTALS
Adobe Inc,Technology,Software - Application,USA,Large,"NDX, S&P 500",15.96,17.17,0.20%,406.00M,11.96%,110.76B,10.37,26.42,-8.88%,403.40M,11.35%,110.53B,0.84,5.82,83.46%,4.70%,5.04%,7.21B,4.53,12.37%,-3.12%,3.43,-13.70%,24.45B,9.73,12.29%,24.16%,18.98M,-21.70%,28.16,16.08,12.36%,58.77%,421.48 -34.98%,-33.98%,17.05,10.74,18.25% 9.04%,42.01%,224.13 22.26%,-35.79%,-,11.28,10.89% 13.06%,88.77%,4.00%,3.48%,-44.74%,-,4.52,12.71%,36.91%,10.15,173.92%,"Mar 24, 2005",0.91,10.96%,29.48%,65.95,2.41,- -,0.91,11.16%,9.98%,1.40,319.55,0.00%,0.58,11.97%,11.84%,1.55,259.21,31360,0.50,Jun 11 AMC,-9.72%,5.54M,274.03,"Aug 13, 1986",Yes / Yes,3.20% 1.93%,"

","8,533,659",5.72%,ADBE,2026-06-02,SP500_FUNDAMENTALS
Accenture plc,Technology,Information Technology Services,Ireland,Large,S&P 500,16.10,12.21,0.26%,614.84M,9.68%,120.69B,13.15,14.95,-2.09%,612.34M,10.01%,121.20B,1.66,3.73,84.14%,3.94%,-4.54%,7.65B,1.67,7.28%,1.26%,3.78,-20.68%,72.11B,3.87,7.76%,12.05%,24.15M,-26.73%,50.76,12.83,7.91%,25.30%,321.77 -38.90%,-37.95%,15.32,9.66,4.30% 9.01%,19.77%,155.82 26.17%,-35.59%,6.51 (3.31%),9.36,4.19% 9.47%,31.88%,3.89%,4.19%,-30.01%,6.37 (3.24%),1.68,0.49%,15.56%,7.61,65.19%,"Apr 09, 2026",1.34,7.27%,10.61%,65.19,1.77,15.12% 13.09%,1.34,3.98%,11.23%,1.07,248.74,48.71%,0.27,8.31%,6.18%,1.13,187.07,779000,0.24,Jun 18 BMO,-15.15%,6.38M,196.59,"Jul 19, 2001",Yes / Yes,3.37% 1.13%,"

","7,179,547",5.09%,ACN,2026-06-02,SP500_FUNDAMENTALS
Advanced Micro Devices Inc,Technology,Semiconductors,USA,Mega,"NDX, S&P 500",167.43,3.05,0.49%,1.63B,9.12%,831.82B,38.55,13.23,-7.42%,1.62B,43.91%,823.33B,0.62,1.60,68.37%,2.75%,156.84%,5.01B,22.21,78.80%,-0.95%,1.18,138.11%,37.45B,12.90,77.50%,6.52%,44.70M,138.20%,39.55,67.31,62.59%,8.06%,527.20 -3.24%,360.70%,7.58,97.02,46.65% 5.13%,7.43%,108.62 369.67%,326.99%,-,111.50,13.64% 28.82%,47.09%,5.44%,5.68%,531.27%,-,21.98,123.87%,11.65%,26.37,11415.35%,-,1.96,34.97%,13.37%,73.70,1.52,- -,2.72,92.25%,13.97%,2.49,488.52,0.00%,0.06,37.85%,52.62%,0.88,516.10,31000,0.05,May 05 AMC,113.26%,37.80M,510.13,"Oct 15, 1979",Yes / Yes,6.24% 3.57%,"

","33,306,168",-1.16%,AMD,2026-06-02,SP500_FUNDAMENTALS
Aflac Inc,Financial,Insurance - Life,USA,Large,S&P 500,12.72,8.81,10.79%,510.53M,-4.88%,57.06B,14.75,7.60,-1.94%,454.10M,-1.37%,-,6.86,1.78,59.12%,1.91%,-1.09%,4.64B,3.15,-5.68%,-1.50%,3.64,1.41%,18.11B,1.91,7.58%,3.93%,8.66M,1.67%,58.69,-,2.15%,16.47%,119.81 -6.43%,8.28%,-,19.45,-0.54% 0.43%,12.36%,96.95 15.64%,73.30%,2.44 (2.18%),-,-3.57% -4.97%,-,1.95%,1.82%,95.96%,2.38 (2.12%),-,37.42%,32.26%,2.15,223.04%,"May 20, 2026",-,7.25%,25.60%,38.89,3.12,13.19% 15.68%,1.05,3634.91%,-2.81%,0.61,112.43,34.04%,0.26,27.90%,-0.92%,0.96,112.42,12716,0.25,Apr 29 AMC,1.14%,2.38M,112.11,"Jun 14, 1974",Yes / Yes,-2.44% 3.41%,"

","2,281,565",-0.28%,AFL,2026-06-02,SP500_FUNDAMENTALS
AES Corp,Utilities,Utilities - Diversified,USA,Large,S&P 500,7.61,1.93,0.60%,713.14M,0.14%,10.48B,6.05,2.43,0.00%,708.86M,1.73%,47.06B,2.00,0.56,91.50%,2.50%,3.45%,1.38B,0.84,-0.90%,2.92%,1.31,5.68%,12.45B,2.37,4.76%,2.72%,17.69M,2.51%,6.20,4.66,3.03%,23.63%,17.65 -16.71%,45.69%,3.15,-,- 82.82%,3.93%,9.92 48.19%,-26.06%,0.71 (4.82%),12.57,-1.03% 4.83%,19.25%,0.30%,0.55%,-42.65%,0.70 (4.79%),3.78,5.46%,17.60%,0.08,34.37%,"May 01, 2026",0.65,2.76%,11.08%,65.27,2.83,3.03% 3.83%,0.73,955.97%,1.26%,0.94,15.12,53.52%,4.24,7.55%,2.08%,0.75,14.67,8336,3.80,May 05 AMC,3.15%,13.52M,14.70,"Jun 26, 1991",Yes / Yes,105.02% 2.37%,"

","10,223,317",0.20%,AES,2026-06-02,SP500_FUNDAMENTALS
Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,Large,S&P 500,27.31,4.98,0.33%,282.22M,18.28%,38.43B,20.64,6.59,-0.28%,281.66M,17.68%,39.98B,2.24,1.49,92.72%,1.95%,15.07%,1.41B,5.31,8.28%,-0.11%,2.42,-11.91%,7.23B,5.39,8.85%,11.21%,5.50M,-0.07%,25.24,21.27,9.20%,21.33%,160.27 -15.16%,21.50%,6.39,35.35,3.03% 14.68%,13.90%,108.35 25.50%,16.96%,1.02 (0.75%),21.28,0.48% 5.41%,55.95%,3.58%,3.09%,-0.89%,1.01 (0.74%),5.53,22.77%,22.15%,4.75,195.93%,"Jun 30, 2026",1.62,9.11%,19.55%,76.81,1.55,5.63% 6.58%,2.10,58.79%,15.84%,1.26,161.47,21.70%,0.47,10.01%,16.88%,1.18,135.53,18100,0.43,May 27 AMC,4.85%,2.27M,135.98,"Nov 18, 1999",Yes / Yes,5.79% 2.03%,"

","2,678,075",0.33%,A,2026-06-02,SP500_FUNDAMENTALS
