Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker,Fetch_Date,Source_Index
Airbnb Inc,Consumer Cyclical,Travel Services,USA,Large,"NDX, S&P 500",34.23,4.06,32.66%,419.00M,3.37%,83.75B,22.90,6.07,-1.10%,399.73M,3.96%,74.22B,1.08,1.26,58.83%,3.68%,8.29%,2.52B,6.59,27.12%,-1.00%,4.02,8.56%,12.71B,10.83,18.46%,9.70%,14.73M,2.39%,12.83,6.94,21.26%,32.33%,147.25 -5.63%,2.52%,20.02,18.45,13.17% -,24.89%,110.81 25.40%,8.69%,-,27.05,13.58% 29.50%,72.38%,3.55%,3.36%,-8.45%,-,5.84,2.35%,20.89%,4.59,-,-,1.44,13.18%,19.80%,58.71,2.11,- -,1.44,7.34%,4.08%,1.15,157.19,0.00%,0.33,17.87%,2.44%,1.28,132.28,8200,0.32,May 07 AMC,7.74%,3.67M,138.96,"Dec 10, 2020",Yes / Yes,-14.50% 2.34%,"

","4,694,188",5.05%,ABNB,2026-06-16,SP500_FUNDAMENTALS
Air Products & Chemicals Inc,Basic Materials,Specialty Chemicals,USA,Large,S&P 500,29.93,9.45,0.06%,222.68M,2.24%,63.01B,19.80,14.29,-35.30%,222.55M,-5.64%,82.92B,2.22,3.34,92.56%,1.40%,-2.14%,2.11B,5.06,9.77%,-2.90%,2.69,16.10%,12.46B,4.03,8.22%,5.25%,3.13M,14.55%,70.28,66.26,8.92%,13.94%,307.96 -8.12%,0.92%,4.27,-,- -,6.29%,229.11 23.50%,-2.68%,7.23 (2.55%),18.21,-1.77% 6.33%,31.97%,2.44%,2.13%,-6.02%,7.18 (2.54%),6.65,37.17%,24.02%,6.57,113.06%,"Jul 01, 2026",1.21,3.69%,16.91%,45.95,1.80,3.93% 6.63%,1.43,141.03%,-0.30%,0.74,335.42,-,1.17,8.77%,-3.36%,1.00,281.62,21300,1.14,Apr 30 BMO,3.22%,1.16M,282.96,"Nov 13, 1961",Yes / Yes,4.59% 3.32%,"

","1,164,513",0.48%,APD,2026-06-16,SP500_FUNDAMENTALS
Alexandria Real Estate Equities Inc,Real Estate,REIT - Office,USA,Mid,S&P 500,-,-6.27,2.22%,170.71M,4.22%,9.13B,-,-0.19,1.24%,170.40M,13.45%,25.34B,-,0.14,95.64%,4.12%,8.42%,-1.07B,3.11,121.97%,-0.44%,3.05,14.94%,2.94B,0.57,-110.44%,-2.97%,7.02M,7.03%,92.17,21.56,-,-6.43%,88.24 -40.64%,-27.36%,2.43,6.51,- -,-3.76%,39.41 32.91%,-56.64%,2.88 (5.50%),12.78,5.34% 9.93%,23.99%,4.59%,3.87%,-71.01%,4.08 (7.79%),8.62,-923.18%,22.76%,2.08,-45.90%,"Jun 30, 2026",1.44,-5.35%,-36.32%,58.62,3.06,-0.28% 1.99%,1.44,3188.68%,4.18%,1.19,51.50,-,0.83,-11.49%,11.11%,0.55,53.17,514,0.80,Apr 27 AMC,-7.87%,2.31M,52.38,"May 23, 1997",Yes / Yes,1094.75% -4.64%,"

","1,301,793",-1.49%,ARE,2026-06-16,SP500_FUNDAMENTALS
Albemarle Corp,Basic Materials,Specialty Chemicals,USA,Large,S&P 500,-,-3.41,0.27%,117.89M,12.72%,19.92B,13.86,12.18,-11.73%,117.61M,-11.62%,23.33B,-,3.07,94.87%,9.14%,3.98%,-399.63M,3.63,1642.98%,1.38%,5.09,25.49%,5.49B,2.61,-0.05%,-1.45%,10.76M,19.41%,64.60,18.28,-,-2.34%,221.00 -23.57%,178.16%,9.24,34.51,- -,-1.98%,55.90 202.15%,-26.85%,1.62 (0.96%),21.57,-11.10% 10.45%,18.53%,5.48%,4.27%,1.73%,1.62 (0.96%),4.25,69.44%,7.77%,9.14,111.89%,"Jun 12, 2026",1.21,7.87%,-7.27%,48.38,1.88,0.84% 1.02%,2.07,80748.28%,1.08%,1.31,225.84,-,0.20,32.67%,-7.10%,1.30,170.42,7800,0.19,May 06 AMC,16.55%,2.11M,168.90,"Feb 22, 1994",Yes / Yes,147.03% 6.61%,"

","2,843,422",-0.89%,ALB,2026-06-16,SP500_FUNDAMENTALS
Akamai Technologies Inc,Technology,Software - Infrastructure,USA,Large,S&P 500,45.20,2.97,2.27%,145.55M,-5.41%,19.51B,18.80,7.14,-3.62%,142.09M,-13.79%,24.45B,5.18,1.58,110.32%,13.78%,27.28%,435.18M,4.57,-5.93%,9.37%,3.48,57.05%,4.27B,3.98,6.58%,4.02%,19.58M,53.81%,33.73,20.97,3.63%,9.17%,165.45 -18.89%,74.22%,6.40,25.51,-1.97% -1.83%,4.18%,69.78 92.32%,45.76%,-,18.73,5.18% 5.64%,54.13%,5.23%,4.86%,13.56%,-,5.73,0.30%,13.76%,7.46,151.92%,-,1.99,6.15%,10.20%,45.87,2.10,- -,1.99,-13.09%,-7.68%,0.61,159.77,0.00%,1.20,5.76%,6.81%,0.50,133.50,11000,1.12,May 07 AMC,36.48%,5.63M,134.20,"Oct 29, 1999",Yes / Yes,0.40% 0.09%,"

","2,851,684",0.52%,AKAM,2026-06-16,SP500_FUNDAMENTALS
Align Technology Inc,Healthcare,Medical Instruments & Supplies,USA,Large,S&P 500,29.87,5.97,3.56%,71.62M,3.61%,12.77B,14.43,12.36,-0.31%,69.07M,11.04%,11.82B,1.60,2.63,99.97%,6.70%,5.20%,429.89M,3.12,8.22%,5.60%,4.34,8.78%,4.10B,3.08,8.63%,6.92%,4.63M,14.16%,57.94,12.05,9.00%,10.82%,208.30 -14.42%,0.23%,14.80,21.87,7.03% -24.08%,10.16%,122.00 46.11%,-46.50%,-,12.87,2.61% 10.30%,70.40%,4.13%,3.89%,-70.29%,-,2.89,8.65%,17.85%,6.81,124.93%,-,1.28,2.89%,10.50%,57.27,1.89,- -,1.39,24.34%,6.01%,1.66,208.23,0.00%,0.03,6.21%,2.76%,1.00,174.84,20290,0.02,Apr 29 AMC,11.69%,1.07M,178.26,"Jan 26, 2001",Yes / Yes,12.40% 1.84%,"

","1,091,916",1.96%,ALGN,2026-06-16,SP500_FUNDAMENTALS
Alliant Energy Corp,Utilities,Utilities - Regulated Electric,USA,Large,S&P 500,23.13,3.18,0.17%,257.93M,2.57%,19.00B,19.97,3.68,0.00%,257.85M,1.52%,30.72B,2.57,0.69,93.40%,9.36%,0.71%,821.00M,4.30,6.22%,2.68%,10.76,13.28%,4.42B,2.56,7.71%,3.44%,24.12M,13.14%,28.77,165.19,7.76%,11.31%,75.76 -2.92%,20.42%,0.45,-,4.79% 4.94%,4.45%,59.62 23.36%,36.84%,2.15 (2.92%),16.39,1.23% 5.01%,25.78%,1.63%,1.82%,25.19%,2.08 (2.83%),6.95,10.00%,23.01%,1.34,90.15%,"Apr 30, 2026",0.53,8.34%,18.58%,56.36,1.88,5.88% 5.96%,0.69,4.50%,1.59%,0.55,79.32,64.61%,1.60,4.96%,1.52%,0.69,73.11,2948,1.48,Apr 30 AMC,6.95%,2.24M,73.55,"Mar 30, 1976",Yes / Yes,3.34% 10.09%,"

","1,551,702",0.60%,LNT,2026-06-16,SP500_FUNDAMENTALS
Allegion plc,Industrials,Security & Protection Services,Ireland,Large,S&P 500,18.25,7.32,0.33%,85.94M,4.76%,11.49B,14.00,9.55,-1.18%,85.65M,1.95%,13.41B,1.65,2.21,100.60%,3.92%,-8.31%,633.70M,2.76,7.81%,3.02%,3.40,-18.83%,4.16B,5.47,8.81%,12.83%,3.36M,-16.03%,24.45,37.20,8.51%,34.18%,183.11 -26.98%,-1.18%,3.59,16.32,12.75% 16.90%,14.81%,125.00 6.96%,12.41%,2.15 (1.61%),13.48,7.52% 8.38%,44.97%,2.43%,2.49%,-3.47%,2.12 (1.59%),3.22,2.90%,20.64%,3.35,96.16%,"Jun 15, 2026",1.19,8.87%,15.24%,53.24,2.12,7.55% 9.77%,1.91,-6.70%,2.48%,0.87,163.58,27.44%,1.06,9.74%,-1.58%,0.70,133.97,13300,1.04,Apr 28 BMO,-15.05%,987.10K,133.70,"Nov 18, 2013",Yes / Yes,-5.04% 0.70%,"

","702,932",-0.20%,ALLE,2026-06-16,SP500_FUNDAMENTALS
Allstate Corp,Financial,Insurance - Property & Casualty,USA,Large,S&P 500,4.89,45.33,0.51%,258.00M,3.16%,57.10B,8.49,26.14,-12.85%,256.10M,2.48%,-,-,4.63,84.41%,3.51%,6.74%,12.03B,0.84,-14.65%,0.84%,5.90,7.25%,68.17B,1.93,-12.07%,11.01%,8.99M,6.56%,114.75,-,-9.94%,45.26%,227.62 -2.55%,11.51%,-,4.95,- 17.07%,31.06%,188.08 17.93%,100.66%,4.31 (1.94%),-,9.60% 10.06%,-,2.35%,2.46%,67.90%,4.16 (1.88%),-,209.62%,21.11%,5.45,236.74%,"Jun 01, 2026",-,4.40%,17.64%,57.66,2.24,5.57% 13.12%,0.41,339.11%,2.90%,0.18,242.05,10.51%,0.24,2.97%,3.08%,0.86,221.63,53300,0.24,Apr 29 AMC,6.95%,1.52M,221.81,"Jun 03, 1993",Yes / Yes,45.68% -2.93%,"

","1,310,434",0.08%,ALL,2026-06-16,SP500_FUNDAMENTALS
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,"NDX, S&P 500",28.18,13.11,52.10%,5.82B,1.66%,4462.87B,25.07,14.74,-0.04%,5.80B,-7.91%,4430.72B,1.49,2.88,38.87%,1.43%,20.88%,160.21B,10.55,31.75%,0.00%,2.81,18.22%,423.17B,9.35,3.46%,27.17%,82.91M,18.00%,39.51,35.18,16.81%,38.88%,408.61 -9.61%,111.46%,10.50,69.27,33.35% 29.82%,28.04%,162.00 127.99%,195.27%,0.86 (0.23%),26.75,12.78% 17.18%,60.43%,3.30%,2.62%,204.19%,0.85 (0.23%),10.47,46.22%,33.63%,10.86,908.89%,"Jun 08, 2026",1.92,17.77%,37.86%,49.84,1.39,- -,1.92,81.96%,-1.52%,1.24,434.43,7.68%,0.20,22.34%,1.55%,0.93,359.68,190820,0.19,Apr 29 AMC,19.63%,29.53M,369.35,"Aug 19, 2004",Yes / Yes,90.52% 2.73%,"

","27,722,664",2.69%,GOOGL,2026-06-16,SP500_FUNDAMENTALS
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,"NDX, S&P 500",28.00,13.11,58.18%,5.46B,1.64%,4462.87B,24.91,14.74,-0.03%,5.07B,-7.57%,4430.72B,1.48,2.88,27.26%,0.89%,20.59%,160.21B,10.55,31.71%,0.00%,2.21,17.03%,423.17B,9.29,3.49%,27.17%,45.22M,16.99%,39.51,35.18,16.78%,38.88%,404.47 -9.24%,108.73%,10.43,69.27,33.35% 29.82%,28.04%,163.33 124.77%,191.84%,0.86 (0.23%),26.75,12.78% 17.18%,60.43%,3.42%,2.64%,191.28%,0.85 (0.23%),10.47,46.22%,33.63%,10.82,921.28%,"Jun 08, 2026",1.92,17.77%,37.86%,50.24,1.39,- -,1.92,81.96%,-1.29%,1.23,434.23,7.68%,0.20,22.34%,1.71%,0.84,358.16,190820,0.19,Apr 29 AMC,19.07%,20.46M,367.11,"Mar 27, 2014",Yes / Yes,90.44% 2.74%,"

","17,264,484",2.50%,GOOG,2026-06-16,SP500_FUNDAMENTALS
Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,Mega,"DJIA, NDX, S&P 500",29.40,8.37,8.95%,10.75B,0.33%,2646.46B,24.41,10.08,-0.03%,9.79B,-7.93%,2727.35B,1.13,1.81,66.63%,0.94%,16.19%,90.80B,3.56,22.95%,0.00%,2.07,6.84%,742.78B,5.99,14.34%,11.64%,92.45M,6.59%,41.09,18.13,21.61%,24.28%,278.56 -11.68%,15.99%,13.57,-,- 27.96%,13.93%,196.00 25.52%,93.55%,-,16.98,11.73% 13.18%,50.60%,3.07%,2.65%,45.44%,-,3.67,35.55%,12.14%,7.59,588.88%,-,1.01,14.22%,12.22%,43.22,1.23,- -,1.18,75.33%,-4.03%,1.45,317.34,0.00%,0.51,16.61%,-3.71%,0.93,238.55,1576000,0.47,Apr 29 AMC,5.77%,44.63M,246.02,"May 15, 1997",Yes / Yes,70.21% 2.39%,"

","41,702,504",3.13%,AMZN,2026-06-16,SP500_FUNDAMENTALS
Altria Group Inc,Consumer Defensive,Tobacco,USA,Large,S&P 500,14.55,4.78,0.15%,1.67B,-2.38%,116.21B,11.83,5.88,-1.41%,1.67B,-3.89%,137.32B,2.80,1.49,62.96%,3.15%,3.05%,8.03B,5.70,4.82%,-1.18%,5.66,18.51%,20.40B,-,3.54%,22.84%,52.49M,20.69%,-1.92,32.86,4.22%,-,74.56 -6.67%,16.35%,2.12,13.48,8.89% 11.40%,38.52%,54.70 27.22%,57.62%,4.34 (6.23%),9.78,-0.93% -0.71%,79.39%,2.30%,1.99%,45.28%,4.24 (6.09%),6.73,-19.96%,67.63%,1.68,6.52%,"Jun 15, 2026",0.48,0.75%,39.38%,45.12,2.87,4.17% 4.12%,0.62,105.23%,-2.98%,0.50,70.20,101.07%,-,5.29%,-0.06%,1.20,71.94,5900,-,Apr 30 BMO,7.77%,9.28M,69.59,"Mar 15, 1923",Yes / Yes,5.91% 3.94%,"

","11,461,568",-3.27%,MO,2026-06-16,SP500_FUNDAMENTALS
Amcor Plc,Consumer Cyclical,Packaging & Containers,Switzerland,Large,S&P 500,28.33,1.45,0.27%,462.10M,8.70%,19.01B,9.49,4.33,0.00%,461.08M,6.53%,34.14B,1.02,1.19,78.56%,6.75%,1.26%,678.00M,0.86,11.84%,5.95%,6.24,-1.30%,22.19B,1.63,8.76%,2.44%,31.11M,-1.41%,25.21,11.98,9.28%,8.75%,50.94 -19.30%,-9.65%,3.43,25.47,-15.45% -3.49%,2.45%,36.25 13.41%,-20.02%,2.56 (6.24%),10.65,1.05% 3.78%,16.71%,2.74%,2.72%,-31.54%,2.59 (6.30%),1.54,-48.00%,7.99%,1.18,-,"May 28, 2026",0.95,64.83%,3.06%,61.44,1.74,2.05% 1.74%,1.44,-11.55%,6.49%,0.63,49.61,158.52%,1.43,77.44%,4.78%,0.66,40.60,77000,1.38,May 06 BMO,-1.30%,4.99M,41.11,"Jun 11, 2019",Yes / Yes,0.33% 3.53%,"

","3,393,807",1.26%,AMCR,2026-06-16,SP500_FUNDAMENTALS
Ameren Corp,Utilities,Utilities - Regulated Electric,USA,Large,S&P 500,19.68,5.57,0.37%,276.70M,2.26%,30.32B,18.87,5.81,-5.40%,275.72M,-0.03%,51.67B,2.43,1.07,84.96%,3.51%,-2.92%,1.52B,3.42,6.90%,0.14%,5.73,12.67%,8.88B,2.24,7.98%,3.19%,9.67M,9.72%,48.99,348.55,7.78%,11.83%,115.58 -5.20%,14.49%,0.31,-,8.93% 8.84%,4.68%,93.50 17.19%,30.49%,3.02 (2.75%),13.64,3.41% 8.72%,30.55%,1.75%,1.92%,27.20%,2.92 (2.66%),5.82,23.95%,23.97%,2.09,115.22%,"Jun 09, 2026",0.44,12.32%,17.17%,52.51,1.89,6.37% 7.26%,0.62,20.43%,0.97%,0.49,121.77,53.09%,1.57,3.77%,-0.49%,0.87,109.00,8913,1.40,May 05 AMC,3.76%,1.69M,109.57,"Jan 02, 1998",Yes / Yes,8.30% -3.03%,"

","1,470,019",0.52%,AEE,2026-06-16,SP500_FUNDAMENTALS
