Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker,Fetch_Date,Source_Index
A.O. Smith Corp,Industrials,Specialty Industrial Machinery,USA,Mid,S&P 500,16.01,3.75,19.92%,111.96M,4.69%,8.27B,14.45,4.15,-0.01%,110.38M,3.54%,8.73B,2.86,0.97,87.74%,6.71%,-9.61%,527.60M,2.17,-1.82%,1.54%,4.53,-12.48%,3.81B,4.41,9.89%,15.25%,7.41M,-10.26%,13.63,40.57,5.05%,28.27%,81.86 -26.68%,-5.94%,1.48,12.78,36.51% 12.66%,21.16%,54.16 10.82%,-14.88%,1.45 (2.41%),11.00,0.67% 5.76%,38.70%,2.72%,2.44%,-13.34%,1.42 (2.37%),2.29,4.76%,18.48%,1.55,43.52%,"Apr 30, 2026",1.00,0.23%,13.84%,56.26,2.56,6.58% 7.09%,1.56,-10.36%,4.43%,1.17,70.30,35.86%,0.35,-1.90%,-0.91%,1.14,59.08,11500,0.33,Apr 30 BMO,-11.39%,1.63M,60.02,"Sep 30, 1983",Yes / Yes,-9.74% -2.92%,"

","1,847,970",1.59%,AOS,2026-06-16,SP500_FUNDAMENTALS
Abbott Laboratories,Healthcare,Medical Devices,USA,Large,S&P 500,24.70,3.59,0.68%,1.74B,-2.02%,154.45B,14.65,6.05,0.31%,1.73B,4.44%,181.84B,1.56,1.28,81.46%,1.27%,-19.35%,6.28B,3.42,6.29%,0.24%,1.69,-28.07%,45.13B,2.97,10.56%,6.54%,22.04M,-29.23%,29.89,21.17,9.42%,12.45%,139.06 -36.24%,-34.62%,4.19,20.93,-1.70% 8.23%,7.68%,81.97 8.17%,-15.57%,2.47 (2.79%),16.26,0.51% 5.08%,52.84%,2.44%,2.21%,-19.69%,2.44 (2.75%),4.03,-53.44%,17.77%,2.09,136.90%,"Jul 15, 2026",1.01,6.59%,13.91%,48.32,1.55,7.72% 9.42%,1.39,-17.14%,0.44%,0.61,115.50,64.54%,0.65,7.78%,-2.49%,0.80,88.18,115000,0.57,Apr 16 BMO,-22.41%,13.03M,88.67,"Mar 01, 1937",Yes / Yes,0.46% 1.49%,"

","10,950,081",0.56%,ABT,2026-06-16,SP500_FUNDAMENTALS
3M Co,Industrials,Conglomerates,USA,Large,"DJIA, S&P 500",30.53,5.18,0.09%,521.57M,2.85%,82.53B,16.66,9.50,-9.95%,521.12M,9.03%,91.55B,1.98,2.23,76.44%,1.84%,5.52%,2.79B,3.30,7.81%,-0.08%,2.50,-6.15%,25.02B,25.29,9.30%,7.39%,9.59M,-1.17%,6.26,19.89,8.43%,72.14%,177.41 -10.81%,11.18%,7.95,40.06,-16.13% -8.50%,19.13%,139.34 13.56%,82.31%,2.80 (1.77%),14.52,-10.01% -4.97%,39.55%,3.76%,2.46%,-5.66%,3.02 (1.91%),3.66,-34.33%,19.82%,4.14,12.79%,"May 22, 2026",1.19,2.08%,11.14%,65.81,2.27,-21.17% -13.06%,1.59,-39.85%,2.93%,1.01,176.24,48.63%,4.02,1.28%,5.78%,1.15,158.32,60500,3.46,Apr 21 BMO,0.41%,3.84M,158.23,"Jan 14, 1946",Yes / Yes,8.14% -0.09%,"

","4,426,175",-0.06%,MMM,2026-06-16,SP500_FUNDAMENTALS
Accenture plc,Technology,Information Technology Services,Ireland,Large,S&P 500,13.55,12.21,0.26%,614.84M,-5.20%,101.52B,11.09,14.91,-2.09%,612.32M,0.84%,102.03B,1.44,3.71,84.12%,4.22%,-17.03%,7.65B,1.41,7.16%,1.26%,4.22,-38.84%,72.11B,3.26,7.59%,12.05%,25.84M,-38.37%,50.76,10.79,7.72%,25.30%,317.30 -47.89%,-46.95%,15.32,8.12,4.30% 9.01%,19.77%,155.82 6.13%,-48.93%,6.51 (3.93%),7.88,4.19% 9.47%,31.88%,4.05%,4.14%,-42.22%,6.37 (3.85%),1.41,0.49%,15.56%,7.52,40.79%,"Apr 09, 2026",1.34,7.27%,10.61%,38.50,1.80,15.12% 13.09%,1.34,3.98%,-6.80%,1.08,234.57,48.71%,0.27,8.31%,-8.45%,0.99,170.28,779000,0.24,Jun 18 BMO,-27.38%,6.12M,165.36,"Jul 19, 2001",Yes / Yes,3.37% 1.13%,"

","6,026,514",-2.89%,ACN,2026-06-16,SP500_FUNDAMENTALS
Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,Mega,S&P 500,109.29,2.03,0.12%,1.77B,-0.66%,391.50B,13.61,16.28,-2.14%,1.76B,5.13%,455.01B,0.63,3.76,76.15%,1.31%,0.06%,3.60B,6.23,42.46%,-0.25%,3.62,-1.07%,62.82B,-,14.26%,2.64%,23.16M,-3.02%,-3.77,41.69,21.52%,15221.82%,244.81 -9.48%,15.97%,5.32,19.59,-29.11% -2.81%,6.21%,181.73 21.93%,63.07%,6.84 (3.08%),15.59,1.75% 5.95%,70.58%,2.03%,2.34%,91.31%,6.74 (3.04%),7.24,-13.63%,33.58%,5.45,266.87%,"Apr 15, 2026",0.68,9.50%,5.72%,55.51,1.67,5.21% 6.56%,0.80,-46.38%,1.28%,0.31,253.85,281.66%,-,12.43%,4.99%,0.81,227.73,57000,-,Apr 29 BMO,0.53%,6.41M,221.59,"Dec 10, 2012",Yes / Yes,2.23% 1.93%,"

","5,261,900",-2.70%,ABBV,2026-06-16,SP500_FUNDAMENTALS
Adobe Inc,Technology,Software - Application,USA,Large,"NDX, S&P 500",11.80,17.48,0.20%,404.20M,-15.77%,83.41B,7.53,27.40,-8.88%,403.40M,-12.93%,84.85B,0.53,6.05,83.31%,4.63%,-18.07%,7.23B,3.31,16.15%,-3.16%,3.17,-41.11%,25.20B,7.15,12.67%,24.91%,18.66M,-41.04%,28.87,14.83,14.15%,62.95%,405.00 -49.05%,-47.31%,13.92,8.11,18.25% 9.04%,43.42%,196.90 4.80%,-57.96%,-,8.47,10.89% 13.06%,88.82%,4.43%,3.92%,-62.37%,-,3.37,11.45%,36.74%,11.10,112.70%,"Mar 24, 2005",0.75,11.49%,28.69%,31.08,2.50,- -,0.75,8.04%,-15.42%,1.42,275.12,0.00%,0.61,12.69%,-15.48%,1.60,204.02,31360,0.45,Jun 11 AMC,-30.66%,5.89M,206.36,"Aug 13, 1986",Yes / Yes,2.48% 2.54%,"

","9,676,440",1.15%,ADBE,2026-06-16,SP500_FUNDAMENTALS
Advanced Micro Devices Inc,Technology,Semiconductors,USA,Mega,"NDX, S&P 500",179.61,3.05,0.49%,1.63B,11.61%,892.36B,41.25,13.27,-7.42%,1.62B,21.69%,883.88B,0.66,1.60,68.29%,2.72%,178.39%,5.01B,23.83,79.08%,-0.89%,1.17,147.15%,37.45B,13.84,77.66%,6.52%,44.07M,155.54%,39.55,72.21,62.77%,8.06%,546.44 0.15%,371.13%,7.58,104.08,46.65% 5.13%,7.43%,115.06 375.63%,340.49%,-,119.70,13.64% 28.82%,47.09%,7.99%,6.12%,580.08%,-,23.60,123.87%,11.65%,33.42,12281.45%,-,1.96,34.97%,13.37%,65.24,1.49,- -,2.72,92.25%,12.11%,2.49,494.82,0.00%,0.06,37.85%,39.12%,0.86,511.57,31000,0.05,May 05 AMC,113.91%,37.58M,547.26,"Oct 15, 1979",Yes / Yes,6.24% 3.57%,"

","33,478,640",6.98%,AMD,2026-06-16,SP500_FUNDAMENTALS
Aflac Inc,Financial,Insurance - Life,USA,Large,S&P 500,13.27,8.81,10.94%,510.53M,1.49%,59.53B,15.39,7.60,-2.30%,453.29M,0.49%,-,7.16,1.78,58.88%,2.00%,7.19%,4.64B,3.29,-5.68%,-1.65%,3.73,7.45%,18.11B,1.99,7.59%,3.93%,9.08M,6.07%,58.69,-,2.15%,16.47%,119.81 -2.38%,14.46%,-,20.29,-0.54% 0.43%,12.36%,96.95 20.64%,67.66%,2.44 (2.09%),-,-3.57% -4.97%,-,1.74%,1.96%,111.12%,2.38 (2.03%),-,37.42%,32.26%,2.31,243.19%,"May 20, 2026",-,7.25%,25.60%,54.73,3.12,13.19% 15.68%,1.05,3634.91%,0.84%,0.61,112.43,34.04%,0.26,27.90%,1.89%,0.95,117.80,12716,0.25,Apr 29 AMC,5.09%,2.44M,116.96,"Jun 14, 1974",Yes / Yes,-2.44% 3.41%,"

","2,439,233",-0.71%,AFL,2026-06-16,SP500_FUNDAMENTALS
AES Corp,Utilities,Utilities - Diversified,USA,Large,S&P 500,7.60,1.93,0.60%,713.14M,-0.20%,10.47B,5.99,2.45,0.00%,708.91M,1.52%,47.05B,1.97,0.53,91.18%,3.09%,3.38%,1.38B,0.84,-0.21%,3.09%,2.00,4.86%,12.45B,2.37,4.93%,2.72%,21.92M,2.37%,6.20,4.65,3.04%,23.63%,17.65 -16.83%,28.32%,3.15,-,- 82.82%,3.93%,10.02 46.51%,-31.69%,0.71 (4.81%),12.56,-1.03% 4.83%,19.25%,0.40%,0.43%,-43.67%,0.70 (4.80%),3.78,5.46%,17.60%,0.07,32.73%,"May 01, 2026",0.65,2.76%,11.08%,57.40,3.00,3.03% 3.83%,0.73,955.97%,0.06%,0.94,15.00,53.52%,4.24,7.55%,1.12%,0.50,14.68,8336,3.80,May 05 AMC,2.50%,10.95M,14.68,"Jun 26, 1991",Yes / Yes,105.02% 2.37%,"

","5,581,660",0.00%,AES,2026-06-16,SP500_FUNDAMENTALS
Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,Large,S&P 500,26.23,4.98,0.34%,282.22M,-1.58%,36.88B,19.81,6.59,-0.17%,281.48M,15.30%,38.43B,2.15,1.49,92.36%,1.85%,16.78%,1.41B,5.10,8.39%,-0.20%,2.35,-8.60%,7.23B,5.17,8.82%,11.21%,5.22M,-4.03%,25.24,20.41,9.23%,21.33%,160.27 -18.52%,11.54%,6.40,33.93,3.03% 14.68%,13.90%,108.35 20.53%,7.72%,1.02 (0.78%),19.85,0.48% 5.41%,52.79%,2.58%,3.06%,-9.70%,1.01 (0.77%),5.31,22.77%,22.94%,4.28,190.59%,"Jun 30, 2026",1.62,9.11%,19.55%,57.55,1.57,5.63% 6.58%,2.10,58.79%,2.82%,1.26,161.13,21.70%,0.47,10.01%,8.41%,0.69,129.84,18100,0.43,May 27 AMC,0.13%,2.22M,130.59,"Nov 18, 1999",Yes / Yes,5.79% 2.03%,"

","1,530,105",0.58%,A,2026-06-16,SP500_FUNDAMENTALS
